家庭是否愿意讨论,调剂是否可接受,需要排除的组内专业,待补充问题,核验备注,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,是否进入机器初筛观察池,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,不得进入原因,下一步,专业组出现ID,稳定基座专业组筛选ID
,,,,,H135,淮南师范学院,H13502,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,10,0,4,6,0,0,2,18,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,5,-9,146,left,1.06 英语（师范类：外语语种：英语；办学地点：泉山校区）[M-1d97958004dc7fbb]；2.07 应用心理学（办学地点：泉山校区）[M-4ec638570922dd68]；3.08 商务英语（外语语种：英语；办学地点：泉山校区）[M-d17b307baa2eafce]；4.09 金融工程（办学地点：泉山校区）[M-7bcbe12d2d9f4b05]；5.10 会计学（办学地点：泉山校区）皿13503 淮南师范学院第 03组[M-8a5d62a2b8e9e4e8]；6.11 储能科学与工程（办学地点：泉山校[M-3569a8bffbb43383]；7.12 光电信息科学与工程（办学地点：泉山校区）[M-22d1799a36fea70f]；8.13 集成电路设计与集成系统（办学地点：泉山校区）[M-fcde1cb3eb9f7b5b]；9.14 计算机科学与技术（办学地点：泉山校[M-e6f585c7aac4e4ce]；10.15 网络工程（办学地点：泉山校区）[M-d5681cb0f5469fc4]；11.16 物联网工程（办学地点：泉山校区）[M-bfa1670af4889e08]；12.17 智能科学与技术（办学地点：泉山校[M-6c9887b5978c5024]；13.18 化学工程与工艺（办学地点：泉山校[M-b3d3e752c9682ea8]；14.19 生物工程（办学地点：泉山校区）[M-41ef058ce047c63f]；15.20 数学与应用数学（师范类；办学地点：泉山校区）[M-b403d38e273bd5e7]；16.21 物理学（师范类：办学地点：泉山校区）[M-1683c9a745c19163]；17.22 化学（师范类；办学地点：泉山校区）[M-1d68937ff21b5d6e]；18.23 生物科学（师范类；办学地点：泉山校H137 安徽建筑大学（公办）（安徽）[M-de3ccb0cb3f2da53],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-94a0d9f67cd17d37,STABLEGROUP-7a0cc252f66032d4
,,,,,A207,北方民族大学,A20711,11,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,4,0,0,0,0,12,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,5,-3,58,left,1.52 测控技术与仪器[M-c9e0909c6b21f184]；2.53 电气工程及其自动化[M-3c96529d2ef4a7dd]；3.54 自动化[M-00526c8ea30b54ae]；4.55 电子信息工程[M-53833bb63bdc6982]；5.56 通信工程[M-e3a675a24c514c1e]；6.57 机械设计制造及其自动化[M-867dafebe9da50fe]；7.58 机械电子工程[M-2a610e60c65ce502]；8.59 工业设计[M-b4c2feb53ec41e79]；9.60 计算机科学与技术[M-0b30e7c88a7c801c]；10.61 软件工程[M-cea00d5676d6d75f]；11.62 网络工程[M-30e771758c9d1983]；12.63 智能科学与技术[M-84d7918197e27e55],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-dc7eeee5a09ec904,STABLEGROUP-244b95aa5db78db3
,,,,,C138,湖北理工学院,C13810,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,4,0,4,0,0,0,0,5,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,2,-10,79,right,1.49 信息与计算科学（大数据安全方向）[M-3233c336114a530e]；2.50 应用物理学（集成电路方向、光电信息科学方向）[M-81bcb2e3f9310b58]；3.51 数据科学与大数据技术[M-0d4fb7b722997d8e]；4.52 人工智能[M-b8657de6d279dc74]；5.53 人工智能（创新实验班）[M-74b36f7c71439bba],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-a289e7d54bd0da07,STABLEGROUP-2aab4279ad400b8d
,,,,,C138,湖北理工学院,C13813,13,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,4,0,4,0,0,0,1,4,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,7,-8,79,right,1.62 计算机科学与技术（不招单色识别不[M-b0f8fd0e863983c8]；2.33 计算机科学与技术（创新实验班；不扌[M-bbf6b877233b143e]；3.64 软件工程[M-4f8b883488ba7e36]；4.65 网络工程[M-ebfadfbc09ed373f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-09d01ff8dec8280c,STABLEGROUP-eb5de16c9d3dfe6f
,,,,,H450,山东工商学院,H45004,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,4,1,3,0,0,0,0,16,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,10,5,169,right,1.39 统计学[M-8ba195c86a925e83]；2.40 人工智能[M-90b2fc54c5bc2e5c]；3.41 数学与应用数学[M-9710c4b647b66507]；4.42 应用统计学[M-8007c889cbd9a1ae]；5.43 自动化[M-86ef54f0445df8fe]；6.44 电气工程及其自动化[M-7fc32d85e35b149c]；7.45 电子信息工程[M-c8e830f39a1d46bb]；8.46 通信工程[M-a8b31c9114605c03]；9.47 计算机科学与技术[M-cdfe659d6ddbb7d7]；10.48 数字媒体技术[M-13b19a3991c8159a]；11.49 安全工程[M-b4b8560bd289f9b5]；12.50 应急技术与管理[M-4a71a2765412ac2a]；13.51 数据计算及应用[M-7a3695c82b5953d6]；14.52 集成电路设计与集成系统[M-7489ddca4dfd3dd8]；15.53 数据科学与大数据技术[M-d7ad035436e7d0f7]；16.54 电子科学与技术H451 山东女子学院（公办）（山东）不限[M-b0e700912fffe743],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-69a8112ee16cf2ba,STABLEGROUP-45a49c23c6eeb5a8
,,,,,H907,广西科技师范学院,H90703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,4,0,4,0,0,0,0,9,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,3,-5,197,right,1.05 汽车服务工程（办学地点：柳州校区）[M-f694678b5de805ba]；2.06 智能制造工程（办学地点：柳州校区）[M-367f22dba2077693]；3.07 智能车辆工程（办学地点：柳州校区）AKAZG院校麦业组及专业代号[M-fc7a06fb017829a6]；4.08 患气工程及其自动化（办学地点：来宾校区）[M-c9008007971147af]；5.09 人工智能（办学地点：来宾校区）[M-a95f522195f5ff92]；6.10 机器人工程（办学地点：柳州校区）[M-80dab465ad144cf6]；7.11 计算机科学与技术（办学地点：来宾校[M-124272bde4252edc]；8.12 软件工程（办学地点：来宾校区）[M-fa6148caf5e9a03c]；9.13 数据科学与大数据技术（办学地点：来宾校区）[M-b2787ae21d34e26d],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-15959a491546a66c,STABLEGROUP-c005287bda319241
,,,,,C127,湖北工程学院,C12706,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,5,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,8,-21,74,right,1.27 数学与应用数学[M-672c5d285a777ea4]；2.28 数据科学与大数据技术[M-efaf780f0468128b]；3.29 人工智能[M-c4212113be49105a]；4.30 软件工程[M-c6c94fd2e6d5447a]；5.31 网络空间安全[M-ae1dacd1e9960113],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-25242282690fb171,STABLEGROUP-6597191681575a44
,,,,,C138,湖北理工学院,C13805,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,0,0,3,0,0,8,13,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,2,6,-9,79,left,1.19 工程管理（不招单色识别不全）[M-4cd119d7e7b10c55]；2.20 工商管理（不招单色识别不全）[M-f894564bad3f72de]；3.21 数字经济（不招单色识别不全）[M-468a48e0a689f666]；4.22 财务管理（不招单色识别不全）[M-d40c3b173304b90f]；5.23 国际经济与贸易（不招单色识别不全）[M-670e7036ee71c1c4]；6.24 物流管理[M-401e6d8c87eaca91]；7.25 英语（英语单科成绩不低于 90分；外语语种：英语）[M-edc1ceb1eb92395a]；8.26 英语（数智运营方向；英语单科成绩不低于 90分：外语语种：英语）[M-55faec954068266f]；9.27 英语（跨境数字商务方向：英语单科成绩不低于90分：外语语种：英语）[M-0a2c07707a7bbd7a]；10.28 小学教育（师范类；数学方向）[M-4e254f388462c25b]；11.29 小学教育（师范类；科学方向）[M-b570913c7bbcc8d6]；12.30 汉语盲文学（师范炎）[M-aefd648c063718f0]；13.31 网络与新媒体[M-28a5e13a2c6fe630],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-3d3127b5eadf6fc3,STABLEGROUP-db31b445084bea8c
,,,,,F311,太原工业学院,F31102,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,3,0,3,0,0,0,0,10,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,10,-9,109,right,1.06 机械电子工程GAKA一•z专业组及专业代号[M-0866480aca85a441]；2.07 智能制造工程[M-8cfb43de352f0ed2]；3.08 智能车辆工程[M-86d69bc102cb0a69]；4.09 物联网工程[M-79978ec21a64feff]；5.10 智能无人系统技术[M-6eeccebc28680d58]；6.11 测控技术与仪器（屈光不正（近视眼或远视眼）任何一眼矫正后镜片度数大于400度者，不宜就读）[M-44c091cf855e4c63]；7.12 电气工程及其自动化[M-9a8d4ae541b8133c]；8.13 机器人工程[M-c92018b1a4082d03]；9.14 计算机科学与技术[M-e43d4c912f7aa71e]；10.15 软件工程[M-dc3cd37605171f3a],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-9d5ccd6576a2150a,STABLEGROUP-7c1c788c59ba17cb
,,,,,H320,上饶师范学院,H32003,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,0,2,1,0,0,7,10,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,7,-17,157,right,1.06 数据科学与大数据技术（不能准确在显示器上识别红、黄、兰、绿、紫各颜色中任何一种颜色的数码、字母者（不予录取）A◎A◎ZG院校专业组及专业代号[M-714c0a095e82677b]；2.07 人工智能[M-97fae4c85698e33a]；3.08 类曳傅息材料与器件（色盲、色弱考生[M-dc35ef3202b7617c]；4.09 化学（色盲、色弱考生不予录取）[M-f462c203afe79ff6]；5.10 应用化学（色盲、色弱考生不予录取）[M-0aef402589bf7a8f]；6.11 材料科学与工程（色直、色弱考生不予二在学校主校区学习大四将按照培养方案在弋阳校[M-ba733cd5f20c1e00]；7.12 生物科学（色盲、色弱考生不予录取）[M-43449428c14619e8]；8.14 智薏农业（大一、大二在学校主校区学习，大三、大四将按照培养方案在弋阳[M-aa82c94d0d020a52]；9.15 逼感科学与技术（色盲、色弱考生不予[M-2b697a90ff5edca5]；10.16 数学与应用数学（师范类）[M-e866dd877a243bab],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-18c7c3f4af6abe8d,STABLEGROUP-68c6ebb0d66a2beb
,,,,,H330,新余学院,H33005,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,8,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,2,5,-1,160,left,1.20 机械设计制造及其自动化[M-8029c5f9540eacc1]；2.21 机器人工程[M-4bd28bc3195e0bb1]；3.22 智能科学与技术[M-cfd55fd2040b2813]；4.23 软件工程[M-63e88cde53a360ce]；5.19 期資亮院校专业组及专业代号[M-30118f1c3469ba92]；6.24 电子信息工程[M-10e9b900b6e3e228]；7.25 物联网工程[M-01c7a7496f5da113]；8.26 通信工程[M-4af37e128dfca612],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-85925ffa88fd8ce1,STABLEGROUP-f9b1f46873c26eb0
,,,,,H909,广西财经学院,H90904,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,3,0,3,0,0,0,0,4,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,4,-8,198,left,1.09 统计学（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-dc8f8c7c5cfa61f4]；2.10 数据科学（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-9eee94e1d51c959a]；3.11 计算机科学与技术（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-0ce10aa44ebae30d]；4.12 人工智能（第一学年在武鸣校区，第二至第四学年在明秀或相思湖校区）[M-b7efe1507617497a],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-475c4a184d9f8dbd,STABLEGROUP-2c05acfc11f5c502
,,,,,K361,玉溪师范学院,K36102,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,0,0,3,0,0,1,3,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,3,-12,220,right,1.03 化学（师范类：色觉异常及单色识别不全考生不予录取）[M-4143118d35e1e15c]；2.04 数学与应用数学（师范类）[M-edd745a965605156]；3.05 电气工程及其自动化K362 楚雄师范学院（公办）（云南）[M-1afc8ddeee6bdb26],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-b7df1c5e9bb8e8f2,STABLEGROUP-3b8601e7fffc8fc3
,,,,,K753,喀什大学,K75307,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,1,1,1,0,0,7,8,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,2,-15,235,left,1.20 物理学（师范类；需满足数学单科成绩≥60分：办学地点：新泉校区）[M-595730f0e99ec09a]；2.21 电子息科学与技术（需满足数学单科成绩≥60分；办学地点：新泉校区）[M-db9c6ee12ab2db32]；3.22 网络工程（需满足数学单科成绩≥60分：办学地点：新泉校区）[M-73a51780953014c0]；4.23 电气工程及其自动化（需满足数学单科成绩≥60分：办学地点：新泉校区）[M-947675e6b515adc8]；5.24 数字媒体技术（番满足数学单科成绩≥60分：办学地点：新泉校区）[M-1162cd3f716833ed]；6.25 通信工程（需满足数学单科成绩≥60分：办学地点：新泉校区）[M-3a9662a4340b1dfb]；7.26 交通工程（需满足数学单科成绩≥60分：办学地点：东城校区）[M-f3423f29c8c9816e]；8.27 道路桥梁与渡河工程（需满足数学单（科成绩≥60分：办学地点：东城校区）[M-6beb6e47efdde791],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-773111c0b1e7a465,STABLEGROUP-36f8a2d3ccad317d
,,,,,K755,新疆财经大学,K75504,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,3,0,3,0,0,0,1,7,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,3,3,-9,235,right,1.35 经济统计学[M-0ba8a5cc6a14012a]；2.36 统计学ZAKA。院校专业组及专业代亭[M-23599cd2f6179f4b]；3.37 金融数学（数学单科成绩不低于70[M-feb28eeadcff8760]；4.38 数据科学与大数据技术[M-4891e9f445d33181]；5.39 计算机科学与技术[M-66b820fb26fd1d94]；6.40 网络空间安全[M-5387c5074ab4cbef]；7.41 人工智能[M-b6a61f7b02d89e16],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-c60556809274769b,STABLEGROUP-35b8490cf614864c
,,,,,C116,湖北科技学院,C11606,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,2,0,0,2,0,0,2,8,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,1,-8,72,left,1.29 工程管理[M-86202f5e60798c5d]；2.30 经济学[M-0b637c7e0c0d36e0]；3.31 财务管理[M-0ec6c82d6c2930f8]；4.32 工商管理[M-b8af20edde2b49ca]；5.33 汉语言文学（师范类）[M-32c0fcce3d82d996]；6.34 网络与新媒体[M-f93980f8154a4b9d]；7.35 英语（师范类：外语语种：英语）[M-a419c5dd83cee484]；8.36 商务英语（外语语种：英语）[M-c3d208d6e0176cb1],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-99f0f290ef3717cf,STABLEGROUP-5b95ec778a483bd7
,,,,,C126,湖北文理学院,C12610,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,0,0,0,9,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,13,4,74,right,1.38 签堂器（含数学与应用数学、数据计算及应用专业；办学地点：隆中校区）[M-2616fc56cde326b4]；2.39 机械类（含机械设计制造及其自动化留能制造工程专业；办学地点：隆中衣区）[M-367da5ba7b5e9889]；3.40 车辆工程（新能源汽车；办学地点：隆中校区）[M-bc18b9edc3e83b93]；4.41 智能车辆工程（办学地点：隆中校区）[M-9f85e89e0253aa5f]；5.42 电子信息类（含电子信息工程、通信工程专业；办学地点：隆中校区）[M-eb5df77c302d324f]；6.43 软件工程（办学地点：隆中校区）[M-aed4ea4898eb8d2f]；7.44 物联网工程（办学地点：隆中校区）[M-03a5c2fc11e2845d]；8.45 交通设备与控制工程（办学地点：隆中校区）[M-7a3ac15da4148022]；9.46 智慧交通（办学地点：隆中校区）[M-1b3d90448cceb778],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-cad29fb7a08fd6ae,STABLEGROUP-b6b4bb6f9a2c96aa
,,,,,C129,湖北民族大学,C12903,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,0,0,0,9,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,1,1,1,75,right,1.16 电子信息工程[M-17e88617ba0b945e]；2.17 信息安全[M-b710ed35bc5509ba]；3.18 智能制造工程[M-d02b951098ffa84b]；4.19 数学与应用数学[M-4b0040c9e765bb7e]；5.20 统计学[M-f1045946d7c121f0]；6.21 电气工程及其自动化[M-bd390734b328c076]；7.22 计算机科学与技术[M-4fbdf8c8639f107b]；8.23 物理学[M-d18018b776fcfae6]；9.24 光电信息科学与工程[M-a0d8aa651acec549],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-941db55ee939c751,STABLEGROUP-3b056b099b3db1e9
,,,,,F386,内蒙古工业大学,F38603,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,2,0,2,0,0,0,0,2,V1-偏好专业优先线索,true,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,10,-4,111,right,1.03 计算机科学与技术（办学地点：金川校[M-f160745e4ac48b85]；2.04 人工智能（办学地点：金川校区）[M-9da4ff3d1856b4a8],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-65ebf80b76a3cd35,STABLEGROUP-497e9646eac0423c
,,,,,F387,内蒙古农业大学,F38702,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,2,0,2,0,0,0,0,10,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,2,2,-4,111,right,1.07 应用统计学（办学地点：呼和浩特校[M-d55c57f255dbe14e]；2.08 机械设计制造及其自动化（办学地点：呼和浩特校区）[M-f94738dcdb0147c4]；3.09 树料科学与工程（办学地点：呼和浩特校区）[M-a09ed26730e07d3a]；4.10 电气工程及其自动化（办学地点：呼和浩特校区）[M-c07ad5c79de8d336]；5.11 软件工程（办学地点：呼和浩特校区）[M-33b2a8b7450cfcc6]；6.12 数据科学与大数据技术（办学地点：呼和浩特校区）[M-6769ec15ca7fc955]；7.13 水文与水资源工程（办学地点：呼和浩特校区）[M-6e3072a3c723260b]；8.14 农业电气化（办学地点：呼和浩特校[M-a15bea465320e7aa]；9.15 农业水利工程（含享越农林计划；办学地点：呼和浩特校区）[M-da905de62c0490b5]；10.16 家具设计与工程（办学地点：呼和浩特校区）F388 内蒙古医科大学（公办）（内蒙）[M-8e671dc4a3987201],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-660bf38051556cc2,STABLEGROUP-30fd7fd3cb4c68bd
,,,,,F694,齐齐哈尔大学,F69403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,2,0,2,0,0,0,0,4,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,2,6,-6,126,right,1.03 电气工程及其自动化[M-7e1b97d47d20c8b4]；2.04 计算机科学与技术[M-71648b7d2b543e82]；3.05 通信工程[M-bd465c3ff578bd52]；4.06 物联网工程[M-d8b4f0e0ef2f5668],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-ebad8a03de7b7ac9,STABLEGROUP-8cbd8f96c27f7acf
,,,,,H321,宜春学院,H32107,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,2,0,2,1,0,0,1,2,V1-偏好专业优先线索,true,R1-P0整组先核,H3-历史最高线高于等位分15分内,1,2,2,158,left,1.12 计算机科学与技术（不招单色识别不全者；办学地点：本部校区）[M-09b73a4cc142a1b2]；2.13 软件工程（办学地点：本部校区）H322 赣南师范大学（公办）（江西）[M-8e4b67ee72353453],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-834a4bea5026736b,STABLEGROUP-c356333a8dc48a9a
