第三轮候选ID,第三轮池,第三轮层级,第三轮建议梯度,专业角色判断,第三轮方向标签,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,PDF原页核验状态,湖北官方系统核验状态,高校官网证据匹配状态,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,H225,武夷学院,H22502,10,17,土木工程,,待了解-未命中当前偏好方向,,,,5040,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-47ae429e9e38408f,G-0620ea4028f5d9bd
R3GROUP-b24ea7e9e8bac4e7,低优先级专项,T1-医技康复低优先级了解,稳妥观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关；师范类相关,false,H225,武夷学院,H22502,11,18,人工智能H227泉州师范学院（公办）（福建）,计算机类相关；师范类相关,优先了解-命中当前偏好方向,,,48,5040,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-8,-9,148,right,M-d32a3a4600408472,G-0620ea4028f5d9bd
R3GROUP-b589b8d6a572bfce,低优先级专项,T1-医技康复低优先级了解,历史待补,费用或培养模式需核,,false,T488,西安医学院,T48808,1,09,药学（中外合作办学）（办学地点：未夹,,默认不能接受-医学护理等排除方向,中外合作或高收费；医学/护理等排除方向,化学,,60000,1,专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,226,right,M-583de959ff90ade7,G-384f5ce657000141
R3GROUP-b589b8d6a572bfce,低优先级专项,T1-医技康复低优先级了解,历史待补,专项了解-医技护理康复,医技护理康复；师范类相关,false,T488,西安医学院,T48808,2,10,康复治疗学（中外合作办学）（办学地点：未央校区）K489 陕西学前师范学院（公办）（陕西）,师范类相关,默认不能接受-医学护理等排除方向,中外合作或高收费；医学/护理等排除方向,,,|60000,3,再选科目；专业计划数；学费,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H0-无同代码历史线索,,,226,right,M-a9532ca85d0d9bb8,G-384f5ce657000141
R3GROUP-be0a8fde975850cd,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,C107,武汉体育学院,C10705,1,15,康复治疗学（中外合作办学）C108 江汉大学（公办）（湖北）,,默认不能接受-医学护理等排除方向,中外合作或高收费；医学/护理等排除方向,化学,2014,48000,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,18,18,69,right,M-42d3d828fe3b0cb5,G-7b8d9b906bd9f568
R3GROUP-d71484e5d5fb5715,低优先级专项,T1-医技康复低优先级了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,F692,牡丹江医科大学,F69203,1,04,医学检验技术,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,生,2,4400,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-8,126,left,M-b214ec4a3a583c92,G-cea07874e638e447
R3GROUP-d71484e5d5fb5715,低优先级专项,T1-医技康复低优先级了解,稳妥观察,可了解-师范,师范类相关,false,F692,牡丹江医科大学,F69203,2,05,生物技术F693 哈尔滨师范大学（公办）（黑龙江）,师范类相关,优先了解-命中当前偏好方向,,,2,4500,1,再选科目,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-8,126,left,M-6a41830496100c18,G-cea07874e638e447
R3GROUP-d7ea83323e061c95,低优先级专项,T1-医技康复低优先级了解,稳冲观察,专项了解-医技护理康复,医技护理康复,false,K004,海南医科大学,K00406,1,17,医学影像技术（中外合作办学）（不招色盲、色弱：外语单科成绩不低于 105分）,,默认不能接受-医学护理等排除方向,体检或色觉限制；中外合作或高收费；语种或单科限制；医学/护理等排除方向,［化学,,2,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,14,-20,202,left,M-c98fbc3bfae3520d,G-72babc2cec2a94e2
R3GROUP-d7ea83323e061c95,低优先级专项,T1-医技康复低优先级了解,稳冲观察,专项了解-医技护理康复,医技护理康复,false,K004,海南医科大学,K00406,2,18,康复治疗学（中外合作办学）（不招色真、色弱；外语单科成绩不低于 105,,默认不能接受-医学护理等排除方向,体检或色觉限制；中外合作或高收费；语种或单科限制；医学/护理等排除方向,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H3-历史最高线高于等位分15分内,14,-20,202,left,M-e0a8137de3996d4b,G-72babc2cec2a94e2
R3GROUP-d93ccf75562b64dd,低优先级专项,T1-医技康复低优先级了解,稳妥观察,调剂接受度待判断,,false,F298,长治医学院,F29803,1,03,生物医学工程,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,化学,2,5370,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-f5e12cafb813171e,G-4050cae60c3808cc
R3GROUP-d93ccf75562b64dd,低优先级专项,T1-医技康复低优先级了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,F298,长治医学院,F29803,2,04,康复工程,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,5370,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-683d80dd9d365acb,G-4050cae60c3808cc
R3GROUP-d93ccf75562b64dd,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,F298,长治医学院,F29803,3,05,食品营养与健康,,待了解-未命中当前偏好方向,,,2,5370,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-de34c33a105ead6b,G-4050cae60c3808cc
R3GROUP-d93ccf75562b64dd,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,F298,长治医学院,F29803,4,06,药学貨高院校专业组及专业代号,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,2,5480,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,left,M-e4fe70048750fbd3,G-4050cae60c3808cc
R3GROUP-d93ccf75562b64dd,低优先级专项,T1-医技康复低优先级了解,稳妥观察,字段缺口待核,,false,F298,长治医学院,F29803,5,07,中药学,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,要求,,5480,1,专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,right,M-fb4f12d9b9b92905,G-4050cae60c3808cc
R3GROUP-d93ccf75562b64dd,低优先级专项,T1-医技康复低优先级了解,稳妥观察,专项了解-医技护理康复,医技护理康复,false,F298,长治医学院,F29803,6,08,康复治疗学,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,,5480,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H2-历史最高线不高于等位分,-1,-14,108,right,M-9ada6e4ad73d2ac0,G-4050cae60c3808cc
R3GROUP-db87293f798167e4,低优先级专项,T1-医技康复低优先级了解,冲刺观察,字段缺口待核,,false,K488,西安医学院,K48807,1,07,药学（ICC国际创意学院项目；办学地点：未央校区）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,28,226,right,M-c711b81fad3bfabf,G-e97e63aa5a980eeb
R3GROUP-db87293f798167e4,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,K488,西安医学院,K48807,2,08,医学影像技术（ICC 国际创意学院项目：办学地点：未央校区）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,,2,2,再选科目；专业计划数,P0-本轮候选/冲突/结构强阻断先核,H0-100%人工核验,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,28,226,right,M-05c62858a0830f27,G-e97e63aa5a980eeb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,C107,武汉体育学院,C10703,1,05,运动康复,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,不限,10,5200,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-540f83eda499babc,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,字段缺口待核,,false,C107,武汉体育学院,C10703,2,06,应用心理学,,待了解-未命中当前偏好方向,,,6,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-ac43bdd444bf8962,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,字段缺口待核,,false,C107,武汉体育学院,C10703,3,07,智能体育工程,,待了解-未命中当前偏好方向,,,8,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-74714e385b34e496,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,可了解-师范,师范类相关,false,C107,武汉体育学院,C10703,4,08,教育技术学,师范类相关,优先了解-命中当前偏好方向,,,12,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-673f4b6deb768a3a,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,字段缺口待核,,false,C107,武汉体育学院,C10703,5,09,信息管理与信息系统,,待了解-未命中当前偏好方向,,,12,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-38cf0eae495a290e,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,字段缺口待核,,false,C107,武汉体育学院,C10703,6,10,体育经济与管理,,待了解-未命中当前偏好方向,,,9,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-33d3912e00ef12f5,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,调剂接受度待判断,,false,C107,武汉体育学院,C10703,7,1,新闻学,,待了解-未命中当前偏好方向,,化学,20,5200,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,25,6,69,right,M-c99c1ddad4ec82ba,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,调剂接受度待判断,,false,C107,武汉体育学院,C10703,8,12,中医骨伤科学（学制：五年）,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,化学,6,5200,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-7298107e7c5823f4,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,C107,武汉体育学院,C10703,9,13,康复治疗学,,默认不能接受-医学护理等排除方向,医学/护理等排除方向,,7,5200,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-4e2be5d77225f310,G-afbb7a450a726ecb
R3GROUP-dcc9b59ce47f9432,低优先级专项,T1-医技康复低优先级了解,冲刺观察,主线偏好-计算机/数字媒体,计算机AI软件；计算机类相关,false,C107,武汉体育学院,C10703,10,14,数据科学与大数据技术,计算机类相关,优先了解-命中当前偏好方向,,,7,4000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,no_school_source,H4-历史最高线高于等位分16-30分,25,6,69,right,M-857c30bc6020c054,G-afbb7a450a726ecb
R3GROUP-f354dca8968c6519,低优先级专项,T2-农业环境低优先级了解,冲刺观察,调剂接受度待判断,,false,H798,佛山大学,H79803,1,03,材料化学（不招色盲色弱：办学地点：江湾校区）,,暂缓判断-特殊限制待核,体检或色觉限制,化学,5,6230,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,12,191,left,M-382bc2e9cea1e0ea,G-cd2e332ff0df20f9
R3GROUP-f354dca8968c6519,低优先级专项,T2-农业环境低优先级了解,冲刺观察,字段缺口待核,,false,H798,佛山大学,H79803,2,04,材料科学与工程（不招色盲色弱；办学地点：江湾校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,5,6230,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,12,191,left,M-fb14b0d3a323dc2a,G-cd2e332ff0df20f9
R3GROUP-f354dca8968c6519,低优先级专项,T2-农业环境低优先级了解,冲刺观察,可了解-环境,环境工程科学,false,H798,佛山大学,H79803,3,05,环境工程（享越工程师班；不招色盲色弱：办学地点：江湾校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,5,6850,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,12,191,left,M-913ca353693f9e85,G-cd2e332ff0df20f9
R3GROUP-f354dca8968c6519,低优先级专项,T2-农业环境低优先级了解,冲刺观察,字段缺口待核,,false,H798,佛山大学,H79803,4,06,生物工程（不招色盲色弱：办学地点：仙溪校区）,,暂缓判断-特殊限制待核,体检或色觉限制,,3,6230,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,12,191,left,M-275101ac2adb8c68,G-cd2e332ff0df20f9
R3GROUP-f354dca8968c6519,低优先级专项,T2-农业环境低优先级了解,冲刺观察,专项了解-医技护理康复,医技护理康复,false,H798,佛山大学,H79803,5,07,医学检验技术（不招色盲色弱：办学地点：河滨路校区）,,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,,5,6960,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,,H4-历史最高线高于等位分16-30分,28,12,191,left,M-c6679fbe3732901e,G-cd2e332ff0df20f9
