重点核验序号,重点核验状态,压缩结论,入选或暂缓理由,城市偏好提示,核验优先级,建议家庭动作,是否可作为定稿依据,组内硬排除专业数,城市,院校代码,院校名称,院校专业组代码,冲稳保,历史线索分层,同代码命中年份数,2025投档分,2025等位分差,2024投档分,2024等位分差,2023投档分,2023等位分差,专业明细行数,数字媒体技术专业数,计算机类相关专业数,计算机AI软件专业数,电子信息网络专业数,机械自动化机器人专业数,师范类相关专业数,环境工程科学专业数,农业不含动物相关专业数,工商旅游管理专业数,特殊限制待核专业数,调剂初判,完整专业组接受度初判,组内专业摘录,办学地点线索,来源页码,版面列,机器核验下一步,人工核验下一步,下一步核验动作,专业组出现ID,第四轮候选ID
30,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,黄石市,C138,湖北理工学院,C13810,稳冲观察,H3-历史最高线高于等位分15分内,3,484,484-494=-10,497,497-497=+0,483,483-481=+2,5,0,4,4,1,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.49 信息与计算科学（大数据安全方向）[M-3233c336114a530e]；2.50 应用物理学（集成电路方向、光电信息科学方向）[M-81bcb2e3f9310b58]；3.51 数据科学与大数据技术[M-0d4fb7b722997d8e]；4.52 人工智能[M-b8657de6d279dc74]；5.53 人工智能（创新实验班）[M-74b36f7c71439bba],,79,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-a289e7d54bd0da07,R4GROUP-7fec5ee7830590ef
31,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；机械自动化3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,来宾市,H907,广西科技师范学院,H90703,稳冲观察,H3-历史最高线高于等位分15分内,3,489,489-494=-5,497,497-497=+0,484,484-481=+3,9,0,4,4,0,3,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.05 汽车服务工程（办学地点：柳州校区）[M-f694678b5de805ba]；2.06 智能制造工程（办学地点：柳州校区）[M-367f22dba2077693]；3.07 智能车辆工程（办学地点：柳州校区）AKAZG院校麦业组及专业代号[M-fc7a06fb017829a6]；4.08 患气工程及其自动化（办学地点：来宾校区）[M-c9008007971147af]；5.09 人工智能（办学地点：来宾校区）[M-a95f522195f5ff92]；6.10 机器人工程（办学地点：柳州校区）[M-80dab465ad144cf6]；7.11 计算机科学与技术（办学地点：来宾校[M-124272bde4252edc]；8.12 软件工程（办学地点：来宾校区）[M-fa6148caf5e9a03c]；9.13 数据科学与大数据技术（办学地点：来宾校区）[M-b2787ae21d34e26d],柳州校区；来宾校区,197,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-15959a491546a66c,R4GROUP-eede6d3bd827d9cf
32,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI3；计算机类3；电子信息/网络3；机械自动化2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,新余市,H330,新余学院,H33005,稳冲观察,H3-历史最高线高于等位分15分内,2,493,493-494=-1,502,502-497=+5,,,8,0,3,3,3,2,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.20 机械设计制造及其自动化[M-8029c5f9540eacc1]；2.21 机器人工程[M-4bd28bc3195e0bb1]；3.22 智能科学与技术[M-cfd55fd2040b2813]；4.23 软件工程[M-63e88cde53a360ce]；5.19 期資亮院校专业组及专业代号[M-30118f1c3469ba92]；6.24 电子信息工程[M-10e9b900b6e3e228]；7.25 物联网工程[M-01c7a7496f5da113]；8.26 通信工程[M-4af37e128dfca612],,160,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-85925ffa88fd8ce1,R4GROUP-a2ef7f7237d26697
33,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,恩施土家族苗族自治州,C129,湖北民族大学,C12903,稳冲观察,H3-历史最高线高于等位分15分内,1,495,495-494=+1,,,,,9,0,2,2,2,2,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.16 电子信息工程[M-17e88617ba0b945e]；2.17 信息安全[M-b710ed35bc5509ba]；3.18 智能制造工程[M-d02b951098ffa84b]；4.19 数学与应用数学[M-4b0040c9e765bb7e]；5.20 统计学[M-f1045946d7c121f0]；6.21 电气工程及其自动化[M-bd390734b328c076]；7.22 计算机科学与技术[M-4fbdf8c8639f107b]；8.23 物理学[M-d18018b776fcfae6]；9.24 光电信息科学与工程[M-a0d8aa651acec549],,75,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-941db55ee939c751,R4GROUP-9a85c12ab527e559
34,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类4；电子信息/网络1；有1个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,黄石市,C138,湖北理工学院,C13813,稳冲观察,H3-历史最高线高于等位分15分内,3,486,486-494=-8,493,493-497=-4,488,488-481=+7,4,0,4,4,1,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.62 计算机科学与技术（不招单色识别不[M-b0f8fd0e863983c8]；2.33 计算机科学与技术（创新实验班；不扌[M-bbf6b877233b143e]；3.64 软件工程[M-4f8b883488ba7e36]；4.65 网络工程[M-ebfadfbc09ed373f],,79,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-09d01ff8dec8280c,R4GROUP-d4a5ed50b354968c
35,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,孝感市,C127,湖北工程学院,C12706,稳冲观察,H3-历史最高线高于等位分15分内,3,473,473-494=-21,505,505-497=+8,487,487-481=+6,5,0,3,4,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.27 数学与应用数学[M-672c5d285a777ea4]；2.28 数据科学与大数据技术[M-efaf780f0468128b]；3.29 人工智能[M-c4212113be49105a]；4.30 软件工程[M-c6c94fd2e6d5447a]；5.31 网络空间安全[M-ae1dacd1e9960113],,74,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-25242282690fb171,R4GROUP-3744ea633aed7827
36,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,襄阳市,C126,湖北文理学院,C12610,稳冲观察,H3-历史最高线高于等位分15分内,3,506,506-494=+12,501,501-497=+4,494,494-481=+13,9,0,2,2,2,1,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.38 签堂器（含数学与应用数学、数据计算及应用专业；办学地点：隆中校区）[M-2616fc56cde326b4]；2.39 机械类（含机械设计制造及其自动化留能制造工程专业；办学地点：隆中衣区）[M-367da5ba7b5e9889]；3.40 车辆工程（新能源汽车；办学地点：隆中校区）[M-bc18b9edc3e83b93]；4.41 智能车辆工程（办学地点：隆中校区）[M-9f85e89e0253aa5f]；5.42 电子信息类（含电子信息工程、通信工程专业；办学地点：隆中校区）[M-eb5df77c302d324f]；6.43 软件工程（办学地点：隆中校区）[M-aed4ea4898eb8d2f]；7.44 物联网工程（办学地点：隆中校区）[M-03a5c2fc11e2845d]；8.45 交通设备与控制工程（办学地点：隆中校区）[M-7a3ac15da4148022]；9.46 智慧交通（办学地点：隆中校区）[M-1b3d90448cceb778],隆中校区,74,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-cad29fb7a08fd6ae,R4GROUP-cf9694d1d50673a4
37,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI1；计算机类1；电子信息/网络2；机械自动化2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,兰州市,A197,西北民族大学,A19717,稳冲观察,H3-历史最高线高于等位分15分内,2,499,499-494=+5,502,502-497=+5,,,5,0,1,1,2,2,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.22 电子信息工程（办学地点：榆中校区）[M-4f5e24dc8a0f4a78]；2.23 电气工程及其自动化（办学地点：榆中校区）[M-fb3e1dc846ad6da1]；3.24 自动化（办学地点：榆中校区）[M-05eedfbacafd1529]；4.25 人工智能（办学地点：榆中校区）[M-f370e04f41c46e10]；5.26 通信工程（办学地点：榆中校区）[M-80902f0d520e0c02],榆中校区,57,left,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-fc81847787fdf794,R4GROUP-ed60447ea5876e2c
38,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI1；计算机类1；电子信息/网络1；机械自动化3；环境2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,长春市,F583,吉林建筑大学,F58303,稳冲观察,H3-历史最高线高于等位分15分内,3,479,479-494=-15,503,503-497=+6,489,489-481=+8,19,0,1,1,1,3,0,2,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.08 土木工程（办学地点：净月校区）[M-f34b21de2cc968c3]；2.09 工程力学（办学地点：净月校区）[M-32d00ac3d83978a0]；3.10 机械工程（办学地点：净月校区）[M-60f656ef0d4092fd]；4.1 城市地下空间工程（办学地点：净月校[M-fe4e0dae3daf6265]；5.12 给排水科学与工程（办学地点：净月校[M-460936e59330df43]；6.13 建筑环境与能源应用工程（办学地点：净月校区）[M-9b02989029a6c4b5]；7.14 环境工程（办学地点：净月校区）[M-1a249820eb21546c]；8.15 环境科学（办学地点：净月校区）[M-8deefc2de69e8ab1]；9.16 高分子材料与工程（办学地点：净月校[M-b998213e3ac0be75]；10.17 道路桥梁与渡河工程（办学地点：净月校区）[M-725c916a349b4f28]；11.18 电气工程及其自动化（办学地点：净月校区）[M-0ddb16c9a581b24f]；12.19 自动化（办学地点：净月校区）[M-78b994496d8f1619]；13.20 计算机科学与技术（办学地点：净月校[M-ab6dbf173ff63796]；14.21 建筑电气与智能化（办学地点：净月校[M-b4ae23ef80dbcd14]；15.22 地理空间信息工程（办学地点：净月校[M-1f9485734fcb633c]；16.23 地质工程（办学地点：净月校区）[M-300adac4c2e34df1]；17.24 地理信息科学（办学地点：净月校区）[M-2fd639d2b4c67241]；18.25 安全工程（办学地点：净月校区）G◎◎ZXA院校专业组及专业代号[M-42250b01830484d1]；19.26 逼感科学与技术（办学地点：净月校[M-90e9e94d5fb865f9],净月校区,119,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-30d1416d72ea0545,R4GROUP-d938cb211802d8b2
39,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI4；计算机类3；有1个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,乌鲁木齐市,K755,新疆财经大学,K75504,稳冲观察,H3-历史最高线高于等位分15分内,3,487,487-494=-7,488,488-497=-9,484,484-481=+3,7,0,3,4,0,0,0,0,0,0,1,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.35 经济统计学[M-0ba8a5cc6a14012a]；2.36 统计学ZAKA。院校专业组及专业代亭[M-23599cd2f6179f4b]；3.37 金融数学（数学单科成绩不低于70[M-feb28eeadcff8760]；4.38 数据科学与大数据技术[M-4891e9f445d33181]；5.39 计算机科学与技术[M-66b820fb26fd1d94]；6.40 网络空间安全[M-5387c5074ab4cbef]；7.41 人工智能[M-b6a61f7b02d89e16],,235,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-c60556809274769b,R4GROUP-e7b186e1dff42be8
40,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；电子信息/网络2；师范1；机械自动化3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,黄冈市,C118,黄冈师范学院,C11811,稳冲观察,H3-历史最高线高于等位分15分内,1,496,496-494=+2,,,,,7,0,0,0,2,3,1,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.55 物理学（师范类）[M-633c5aae1dbde8f6]；2.56 电子信息工程[M-776783aa034110d1]；3.57 光电信息科学与工程[M-99af103dab855547]；4.58 机械设计制造及其自动化[M-cec52f51bbbe805b]；5.59 机器人工程[M-f95faa393e6a7c8f]；6.60 电气工程及其自动化[M-8e2ceee38fe735ff]；7.61 飞行器制造工程[M-ba0ab31d8f908c5b],,73,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-34a92ea063b4d7fa,R4GROUP-4b655aaaace37805
41,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；数字媒体技术1；计算机/软件/AI1；计算机类1；电子信息/网络2；师范1；机械自动化1；有7个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,喀什地区,K753,喀什大学,K75307,稳冲观察,H3-历史最高线高于等位分15分内,3,482,482-494=-12,499,499-497=+2,466,466-481=-15,8,1,1,1,2,1,1,0,0,0,7,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.20 物理学（师范类；需满足数学单科成绩≥60分：办学地点：新泉校区）[M-595730f0e99ec09a]；2.21 电子息科学与技术（需满足数学单科成绩≥60分；办学地点：新泉校区）[M-db9c6ee12ab2db32]；3.22 网络工程（需满足数学单科成绩≥60分：办学地点：新泉校区）[M-73a51780953014c0]；4.23 电气工程及其自动化（需满足数学单科成绩≥60分：办学地点：新泉校区）[M-947675e6b515adc8]；5.24 数字媒体技术（番满足数学单科成绩≥60分：办学地点：新泉校区）[M-1162cd3f716833ed]；6.25 通信工程（需满足数学单科成绩≥60分：办学地点：新泉校区）[M-3a9662a4340b1dfb]；7.26 交通工程（需满足数学单科成绩≥60分：办学地点：东城校区）[M-f3423f29c8c9816e]；8.27 道路桥梁与渡河工程（需满足数学单（科成绩≥60分：办学地点：东城校区）[M-6beb6e47efdde791],新泉校区；东城校区,235,left,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-773111c0b1e7a465,R4GROUP-864cb60c3d27ed73
42,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；机械自动化2；农业不含动物2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,呼和浩特市,F387,内蒙古农业大学,F38702,稳冲观察,H3-历史最高线高于等位分15分内,2,490,490-494=-4,,,483,483-481=+2,10,0,2,2,0,2,0,0,2,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.07 应用统计学（办学地点：呼和浩特校[M-d55c57f255dbe14e]；2.08 机械设计制造及其自动化（办学地点：呼和浩特校区）[M-f94738dcdb0147c4]；3.09 树料科学与工程（办学地点：呼和浩特校区）[M-a09ed26730e07d3a]；4.10 电气工程及其自动化（办学地点：呼和浩特校区）[M-c07ad5c79de8d336]；5.11 软件工程（办学地点：呼和浩特校区）[M-33b2a8b7450cfcc6]；6.12 数据科学与大数据技术（办学地点：呼和浩特校区）[M-6769ec15ca7fc955]；7.13 水文与水资源工程（办学地点：呼和浩特校区）[M-6e3072a3c723260b]；8.14 农业电气化（办学地点：呼和浩特校[M-a15bea465320e7aa]；9.15 农业水利工程（含享越农林计划；办学地点：呼和浩特校区）[M-da905de62c0490b5]；10.16 家具设计与工程（办学地点：呼和浩特校区）F388 内蒙古医科大学（公办）（内蒙）[M-8e671dc4a3987201],呼和浩特校区,111,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-660bf38051556cc2,R4GROUP-d11a9bea417fc16f
43,重点核验,本轮进入55组重点核验,稳冲观察；H3-历史最高线高于等位分15分内；计算机/软件/AI2；计算机类2；电子信息/网络2；机械自动化1；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P2-稳冲择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,齐齐哈尔市,F694,齐齐哈尔大学,F69403,稳冲观察,H3-历史最高线高于等位分15分内,2,,,491,491-497=-6,487,487-481=+6,4,0,2,2,2,1,0,0,0,0,0,暂不判断-组内结构异常需先核页,组内结构需先核,1.03 电气工程及其自动化[M-7e1b97d47d20c8b4]；2.04 计算机科学与技术[M-71648b7d2b543e82]；3.05 通信工程[M-bd465c3ff578bd52]；4.06 物联网工程[M-d8b4f0e0ef2f5668],,126,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-ebad8a03de7b7ac9,R4GROUP-9f4e82a3a4689960
44,重点核验,本轮进入55组重点核验,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI6；计算机类6；电子信息/网络2；命中初始优先城市：武汉市；公办普通学费主线且未进入H0/H5附录,命中已提到的优先城市：武汉市,P3-冲刺择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,武汉市,C128,湖北经济学院,C12815,冲刺观察,H4-历史最高线高于等位分16-30分,2,473,473-494=-21,515,515-497=+18,,,8,0,6,6,2,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.A0 数据科学与大数据技术[M-80e5e29500906fcd]；2.A1 统计学（经济大数据分析实验班）[M-bdb8c648f4fcd287]；3.A2 电子信息工程[M-23980bd85457c053]；4.A3 软件工程[M-1efaea54a448afe9]；5.A4 物联网工程[M-9650b0c5e148971f]；6.A5 计算机科学与技术[M-49578478eb5bd746]；7.AG 人工智能[M-31b4a981d33cd17a]；8.A7 统计学[M-49bf19206098beca],,75,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-a8d2bae2fc9bc289,R4GROUP-45168577dad22593
45,重点核验,本轮进入55组重点核验,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI3；计算机类3；电子信息/网络2；师范5；环境1；有6个特殊限制专业，需先核章程/原页；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P3-冲刺择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,乌鲁木齐市,K752,新疆师范大学,K75205,冲刺观察,H4-历史最高线高于等位分16-30分,3,478,478-494=-16,487,487-497=-10,497,497-481=+16,17,0,3,3,2,0,5,1,0,0,6,暂不判断-特殊限制待核,主线机器门禁通过，仍需完整专业组人工核验。,1.31 数学与应用数学（师范类：高考数学单科成绩不低于80分；办学地点：温泉校区）[M-a77a872aa3f113ab]；2.32 信息与计算科学（高考数学单科成绩不低于80分：办学地点：温泉校区）[M-f3fbdaf76954f832]；3.33 应用统计学（高考数学单科成绩不低于80分；办学地点：温泉校区）[M-aefa52d546c63817]；4.34 物理学（师范类；高考数学单科成绩不低芋60分；办学地点：昆仑校区）[M-119c6e6692273409]；5.35 电子信息科学与技术（高考数学单科感绩不低于60分；办学地点：昆仑校[M-6d74f6ea94a2887c]；6.36 光电信息科学与工程（高考数学单科成绩不低子60分；办学地点：昆仑校[M-8d1b82b5f676fa00]；7.37 计算机科学与技术（师范类；办学地点：昆仑校区）[M-09057fdfd946e6c2]；8.38 软件工程（办学地点：昆仑校区）[M-03271fe251d222ae]；9.39 数据科学与大数据技术（办学地点：昆仑校区）[M-0999b17dae4b06d3]；10.40 逼感科学与技术（办学地点：温泉校[M-601e8606c47063b1]；11.4 化学（师范类；办学地点：昆仑校区）[M-4050c77bc07a1ae4]；12.42 化学工程与工艺（办学地点：昆仑校区）[M-423d7417e05d5bac]；13.43 环境工程（办学地点：昆仑校区）[M-66047167e51d253e]；14.44 生物科学（师范类；办学地点：温泉校[M-b69ac4db4a5e575f]；15.45 生物技术（办学地点：温泉校区）[M-94ae0b8c8b8a1b81]；16.46 生物工程（办学地点：温泉校区）[M-8f062f820bbb1eea]；17.47 食品安全与检测（办学地点：温泉校[M-c8f3a67e757d06c6],温泉校区；昆仑校区,234,right,按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-7694bcd996e8e798,R4GROUP-1df0d2da06affe66
46,重点核验,本轮进入55组重点核验,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI3；计算机类3；师范2；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P3-冲刺择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,黄冈市,C118,黄冈师范学院,C11810,冲刺观察,H4-历史最高线高于等位分16-30分,2,487,487-494=-7,524,524-497=+27,,,5,0,3,3,0,0,2,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.48 数学与应用数学（师范类）[M-f7f48a6b4950d6cc]；2.49 信息与计算科学[M-26e1a97ae9428f07]；3.50 数据科学与大数据技术[M-9fd7e91b3fe03fe1]；4.51 计算机科学与技术（师范类）[M-ec9e3e801d379acf]；5.52 软件工程[M-5f97cf3ace9e658b],,73,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-6d6a8f20ef5045db,R4GROUP-cfaa870fdbdcb77e
47,重点核验,本轮进入55组重点核验,冲刺观察；H4-历史最高线高于等位分16-30分；计算机/软件/AI4；计算机类3；公办普通学费主线且未进入H0/H5附录,非当前优先城市；只作为录取梯度、学校和专业匹配讨论,P3-冲刺择优核,看完整组内专业，标出可接受/勉强接受/不能接受，再决定是否值得核原页和章程,false,0,桂林市,H892,桂林电子科技大学,H89207,冲刺观察,H4-历史最高线高于等位分16-30分,1,,,,,509,509-481=+28,4,0,3,4,0,0,0,0,0,0,0,可进入人工调剂接受度判断,主线机器门禁通过，仍需完整专业组人工核验。,1.15 计算机科学与技术（办学地点：花江校[M-82aeaf82de038a5b]；2.16 软件工程（办学地点：花江校区）[M-8e13c21a3e4e8076]；3.17 智能科学与技术（办学地点：花江校[M-8c17d2194b6b6a31]；4.18 网络空间安全（办学地点：花江校区）[M-a4cbc4a4d0fdb020],花江校区,195,right,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,核第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,G-417e0ee6247dac7a,R4GROUP-1477b49b46c28b80
