扩展预算场景专业ID,专业组出现ID,场景判断,费用判断,中外合作或高收费线索,是否医学相关待确认,下一步核验动作,是否可作为定稿依据,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,人工核验优先级,人工核验强度,历史线索分层,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID
COOPMAJOR-ddbb0203fbc15bb9,G-91e11e5d2b2b42b0,预算内中外合作/高收费可讨论,预算内,学费候选 28000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F636,长春财经学院,F63602,1,08,人工智能（办学地点：净月校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,4,28000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-49,-67,123,right,M-d911298278441641
COOPMAJOR-eb5041724780e57b,G-91e11e5d2b2b42b0,预算内中外合作/高收费可讨论,预算内,学费候选 28000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F636,长春财经学院,F63602,2,09,计算机科学与技术（办学地点：净月校,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,3,28000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-49,-67,123,right,M-88ba938597afe971
COOPMAJOR-e54131dc5e7b527d,G-91e11e5d2b2b42b0,预算内中外合作/高收费可讨论,预算内,学费候选 28000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F636,长春财经学院,F63602,3,10,智能科学与技术（办学地点：净月校F639长春科技学院（民办）（吉林）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,28000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-49,-67,123,right,M-195885308e81386e
COOPMAJOR-e4d29ce01f591637,G-235425fa7382168c,预算内中外合作/高收费可讨论,预算内,学费候选 28000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F639,长春科技学院,F63902,2,04,计算机类（计算机科学与技术、网络工程、数据科学与大数据技术）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,28000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-53,-62,123,right,M-44042b2922b7ce31
COOPMAJOR-edd0641e19f35e40,G-4279f3b0fc37f9db,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F652,长春大学旅游学院,F65203,1,07,数据科学与大数据技术（办学地点：奢,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,26000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-66,-66,123,right,M-329d919de9be7239
COOPMAJOR-e0fbcd5fe38cb675,G-4279f3b0fc37f9db,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F652,长春大学旅游学院,F65203,2,08,人工智能（含机器人方向和大模型方向；办学地点：奢岭校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,26000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-66,-66,123,right,M-82707ebddb18e134
COOPMAJOR-0108e571191e1203,G-96d3c964163c5da1,预算内中外合作/高收费可讨论,预算内,学费候选 6000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F683,黑龙江大学,F68313,1,28,计算机科学与技术（与澳大利亚昆士大学2+2联合培养双学士学位，等、第二学年在黑龙江大学学习，学费为6000元/学年：第三、第四学年须赴外方大学学习攻读学位58000澳币/学年，外方教学语音为类语；其他详细信息务必查阅学校招生网站）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,学费超过当前上限,,3,6000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,124,left,M-b802d0ef6ce71576
COOPMAJOR-4c4d8def0a7845fd,G-a87761a91a204339,预算内中外合作/高收费可讨论,预算内,学费候选 27000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F737,哈尔滨信息工程学院,F73701,1,01,计算机科学与技术F738 齐齐哈尔工程学院（民办）（黑龙江）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,5,27000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,127,right,M-8dffdd19c8bc831e
COOPMAJOR-7356baa272d62b6d,G-5ad7a7666637d31f,预算内中外合作/高收费可讨论,预算内,学费候选 25000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F740,黑龙江财经学院,F74003,2,08,计算机科学与技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,25000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-51,-314,127,right,M-6bf87e5ddd5bb86d
COOPMAJOR-c811dae1dc4d5c58,G-5ad7a7666637d31f,预算内中外合作/高收费可讨论,预算内,学费候选 27000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F740,黑龙江财经学院,F74003,3,09,数据科学与大数据技术P741 哈尔滨石油学院（民办）（黑龙江）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,27000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-51,-314,127,right,M-88e11d93cdeca35b
COOPMAJOR-75c69ac7d2ed7fab,G-47dc9ae03ff94808,预算内中外合作/高收费可讨论,预算内,学费候选 26800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F741,哈尔滨石油学院,F74102,2,04,计算机科学与技术F743哈尔滨远东理工学院（民办）（黑龙江）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,26800,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-42,-58,127,right,M-30564299ba06a6d7
COOPMAJOR-7361651cc13bb7fe,G-94e796ec3dad5d5f,预算内中外合作/高收费可讨论,预算内,学费候选 25800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F743,哈尔滨远东理工学院,F74302,1,02,计算机科学与技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,2,25800,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H0-无同代码历史线索,,,127,right,M-2afc84a255c1c0e6
COOPMAJOR-9e718952443596ce,G-94e796ec3dad5d5f,预算内中外合作/高收费可讨论,预算内,学费候选 23800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F743,哈尔滨远东理工学院,F74302,5,05,计算机科学与技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,23800,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,128,left,M-6a12791e3eb55b3c
COOPMAJOR-6e95ade080403db9,G-68789e252ba7cf78,预算内中外合作/高收费可讨论,预算内,学费候选 35000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F829,上海杉达学院,F82902,1,03,计算机科学与技术（办学地点：金海校資高院校专业组及专业代号,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,35000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H3-历史最高线高于等位分15分内,4,4,130,left,M-9667802b8c14a990
COOPMAJOR-e6571094aae8cd30,G-68789e252ba7cf78,预算内中外合作/高收费可讨论,预算内,学费候选 35000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F829,上海杉达学院,F82902,2,04,数据科学与大数据技术（办学地点：金海校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,35000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H3-历史最高线高于等位分15分内,4,4,130,right,M-2eadf421ef630e5b
COOPMAJOR-72a8de877eb304b7,G-f8638bc254ef69ef,预算内中外合作/高收费可讨论,预算内,学费候选 42000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F831,上海建桥学院,F83103,4,13,人工智能,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,42000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-32,-65,130,right,M-c88cd8cab99a5c86
COOPMAJOR-3bd7dd9831b969f6,G-c85b2ec089082fc5,预算内中外合作/高收费可讨论,预算内,学费候选 45000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F831,上海建桥学院,F83104,2,19,网络工程（双语班：外语与国际教育学院.入学后专业教学外语语种为日语中日学分互认）F835上海外国语大学贤达经济人文学院（独立）（上海）F83502 上海外国语大学贤达经济人文学院第 不限,计算机类相关；师范类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,语种或单科限制；学费超过当前上限,,,45000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-40,-40,130,right,M-68652ea58c5a508f
COOPMAJOR-1c008fe0f85ea87a,G-dbb2e78f6c780062,预算内中外合作/高收费可讨论,预算内,学费候选 33800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F843,广州理工学院,F84302,3,08,计算机科学与技术（办学地点：第一学年惠州博罗校区，第二至四学年广州白云校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,33800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,192,right,M-4bf6610802ed94c2
COOPMAJOR-3a9a302408423859,G-77fe346c407f0b72,预算内中外合作/高收费可讨论,预算内,学费候选 4600 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F909,广西财经学院,F90905,1,13,计算机科学与技术（中澳2+2学分互认联合培养项目：与澳大利亚麦考瑞太学联合培养，采用～2+2”模式：前两年在我校学习，学费为 4600元/学年后两年赴澳学习，茧国费用另计（澳方学费约46300澳元/学年），满足授予条件可获中澳双学士学位证，...,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,学费超过当前上限,化学,,4600,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,198,left,M-dce5e04843557733
COOPMAJOR-6a8e9f423856b6fb,G-e7801249b26712f5,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F943,南京航空航天大学金城学院,F94303,4,15,物联网工程,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,20000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-5,-6,136,left,M-1580b8c82c6761b0
COOPMAJOR-7d1928009577088d,G-e7801249b26712f5,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F943,南京航空航天大学金城学院,F94303,5,16,计算机科学与技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,20000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-5,-6,136,left,M-7bb4eb9724aa9465
COOPMAJOR-e481c0735015c2cc,G-e7801249b26712f5,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F943,南京航空航天大学金城学院,F94303,6,17,软件工程,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,20000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-5,-6,136,left,M-b7d26574f898f9f0
COOPMAJOR-a37c8e105a1e7bd6,G-2b6d1b772dc04707,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F956,扬州大学广陵学院,F95602,3,05,软件工程F958 南京邮电大学通达学院（独立）（江苏）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,20000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H2-历史最高线不高于等位分,-9,-21,136,right,M-4d9307a4ff056814
COOPMAJOR-3eed613e2569b7db,G-23e151f2eaa0fd85,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F958,南京邮电大学通达学院,F95801,2,02,信息安全,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,20000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H3-历史最高线高于等位分15分内,8,-11,136,right,M-d5e923ebda225c82
COOPMAJOR-4c742a65886b8b8b,G-7156f5e5b590ca46,预算内中外合作/高收费可讨论,预算内,学费候选 22000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F963,南京审计大学金审学院,F96303,1,18,计算机科学与技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,22000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-10,-10,136,right,M-f1087f98f50d106f
COOPMAJOR-056998608f623067,G-7156f5e5b590ca46,预算内中外合作/高收费可讨论,预算内,学费候选 20000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,F963,南京审计大学金审学院,F96303,4,21,人工智能,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,20000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H2-历史最高线不高于等位分,-10,-10,136,right,M-74fbb556fc3deae3
COOPMAJOR-38c103321eb939ec,G-b08cda0a2ed91d99,预算内中外合作/高收费可讨论,预算内,学费候选 39000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H001,杭州电子科技大学,H00106,2,27,计算机科学与技术（中外合作办学）（与俄罗斯圣光机大学合作办学中英文授课，学生在中方完成4年学些后，可获中俄双方证书；办学地点：下沙校区）H002浙江工业大学（公办）（浙江）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,2,39000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H0-无同代码历史线索,,,137,right,M-45a6e238996050a7
COOPMAJOR-a5a45c60e4d1b392,G-ecd70c941da27746,预算内中外合作/高收费可讨论,预算内,学费候选 50000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H013,温州大学,H01305,1,16,计算机科学与技术（中外合作办学）（与俄罗斯圣彼得堡国立工业技术卓设计太学合作办学，俄友教师采用蒸文授课，学费最终以物价部门批复为准）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,化学,3,50000,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H5-历史最高线高于等位分30分以上,63,44,139,right,M-f084b3e637544012
COOPMAJOR-8af3033f10df65fe,G-dba27299e987976d,预算内中外合作/高收费可讨论,预算内,学费候选 32000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H019,浙江万里学院,H01903,3,09,人工智能（办学地点：钱湖校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,,,,32000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,140,right,M-206d11bae0bf6195
COOPMAJOR-7262368709f97158,G-dba27299e987976d,预算内中外合作/高收费可讨论,预算内,学费候选 33000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H019,浙江万里学院,H01903,4,10,计算机科学与技术（办学地点：钱湖校,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,,,,33000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,140,right,M-6f07c116954f4e97
COOPMAJOR-d7675a0ac7dd4a56,G-dba27299e987976d,预算内中外合作/高收费可讨论,预算内,学费候选 33000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H019,浙江万里学院,H01903,5,11,软件工程（办学地点：钱湖校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,,,,33000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,140,right,M-50d6e7323ae4f59a
COOPMAJOR-0270a4c0a2a08bc4,G-dba27299e987976d,预算内中外合作/高收费可讨论,预算内,学费候选 33000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H019,浙江万里学院,H01903,6,12,数据科学与大数据技术（办学地点：钱湖校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,,,,33000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H0-无同代码历史线索,,,140,right,M-6729c9f5efd5efe9
COOPMAJOR-5e50521f9b98b8bb,G-76b0fa454c5da5a9,预算内中外合作/高收费可讨论,预算内,学费候选 58000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H020,浙江科技大学,H02005,1,10,数据科学与大数据技术（中外合作办学）（中法合作办学；小和山校区.要求高考外语成绩不低于100分.与法国塞吉巴黎大学合作办学）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,,58000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H4-历史最高线高于等位分16-30分,21,21,140,right,M-75bd214d4bad031b
COOPMAJOR-5da9e958974c4336,G-568c9240deb6776f,预算内中外合作/高收费可讨论,预算内,学费候选 50000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H022,浙江水利水电学院,H02202,1,07,物联网工程（中外合作办学）（与新西兰尼尔森马尔伯勒理工学院合作办学：办学地点：杭州钱塘校区）,计算机类相关,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费,,2,50000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H5-历史最高线高于等位分30分以上,49,36,141,left,M-8c3e5d5821b682a0
COOPMAJOR-e04b1e290a6683f1,G-74da7740bdf41b0c,预算内中外合作/高收费可讨论,预算内,学费候选 33800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H062,浙江越秀外国语学院,H06203,1,08,数据科学（办学地点：镜湖校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,化学,4,33800,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-34,-50,142,left,M-6949bebe33aad876
COOPMAJOR-10a3c47083544558,G-74da7740bdf41b0c,预算内中外合作/高收费可讨论,预算内,学费候选 33000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H062,浙江越秀外国语学院,H06203,2,09,人工智能（办学地点：镜湖校区）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,4,33000,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,H1-历史最高线低于等位分20分以上,-34,-50,142,left,M-a7b5b1c9fea772a4
COOPMAJOR-038a55f09cceba1e,G-fd7e95f70782ad27,预算内中外合作/高收费可讨论,预算内,学费候选 33800 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H062,浙江越秀外国语学院,H06204,1,11,大数据管理与应用（办学地点：镜湖校,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,不限,4,33800,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,H1-历史最高线低于等位分20分以上,-42,-42,142,left,M-881ffebf5ffa6600
COOPMAJOR-8df46ed4f73ce33d,G-b5777d8db8486812,预算内中外合作/高收费可讨论,预算内,学费候选 48000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H062,浙江越秀外国语学院,H06205,1,14,大数据管理与应用（中外合作办学）（办学地点：镜湖校区）H063 宁波财经学院（民办）（浙江）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,中外合作或高收费,不限,4,48000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-52,-52,142,left,M-6139addb1745608b
COOPMAJOR-875b3b1ca31fa0c9,G-07c0835c3f8af7df,预算内中外合作/高收费可讨论,预算内,学费候选 27750 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H065,浙江工业大学之江学院,H06502,4,01,计算机类（计算机科学与技术、软件工程、网络工程、物联网工程）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,2,27750,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H3-历史最高线高于等位分15分内,8,-2,142,left,M-5ca1e3dadde8abeb
COOPMAJOR-d475674fce96646d,G-d5f2037f7d771082,预算内中外合作/高收费可讨论,预算内,学费候选 27750 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H071,浙江农林大学暨阳学院,H07101,2,02,计算机科学与技术（办学地点：诸暨H075 湖州学院（公办）（浙江）,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,,27750,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-20,-21,142,right,M-07c444ee21e784fd
COOPMAJOR-d1eb6890e4c0c044,G-f2ed487b4055a017,预算内中外合作/高收费可讨论,预算内,学费候选 26000 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H173,安徽新华学院,H17302,1,02,计算机科学与技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,3,26000,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H1-历史最高线低于等位分20分以上,-38,-45,147,left,M-41a53fbfa9c26017
COOPMAJOR-4d73bd8c765b87cf,G-930e0db8c8fd1bbf,预算内中外合作/高收费可讨论,预算内,学费候选 24600 元，不超过 70000 元；需核培养模式和证书,false,回看第19期原页、湖北官方系统、招生章程和高校官网；核学费、培养模式、证书、校区、专业组边界和调剂范围。,false,H178,安徽信息工程学院,H17801,1,01,计算机科学与技术,计算机类相关,,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,,24600,24600,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,H2-历史最高线不高于等位分,-13,-33,147,left,M-57b2783bdb54167e
