执行建议序号,机会优先级,机会类型,院校代码,院校名称OCR,高校侧刷新批次,高校侧刷新任务类型,官网辅证自动动作,官网证据强度,官网来源状态,来源文件类型集合,公开来源文件数量,公开来源URL数量,涉及招生明细数,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,官网未匹配行数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,最新自动探针状态,来源质量判断,自动化下一步,人工最小核验动作,保真边界,字段事实写回状态,下一步
37,P0-立即处理,O0-冲突优先回页核验,H450,山东工商学院,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,1,1,0,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
38,P0-立即处理,O1-官网补缺候选回页核验,H001,杭州电子科技大学,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,XLS/XLSX,1,1,1,0,1,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
39,P0-立即处理,O2-官网专业名未匹配先补规则,A195,兰州大学,S1-专业名匹配人工确认,官网专业名未匹配人工确认,C7-官网源未匹配专业需人工确认专业名,unmatched,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,1,0,0,0,0,0,1,0,0,0,,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
40,P0-立即处理,O2-官网专业名未匹配先补规则,A197,西北民族大学,S1-专业名匹配人工确认,官网专业名未匹配人工确认,C7-官网源未匹配专业需人工确认专业名,unmatched,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,1,0,0,0,0,0,1,0,0,0,,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
41,P0-立即处理,O2-官网专业名未匹配先补规则,F099,天津外国语大学,S1-专业名匹配人工确认,官网专业名未匹配人工确认,C7-官网源未匹配专业需人工确认专业名,unmatched,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,1,0,0,0,0,0,1,0,0,0,,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
42,P0-立即处理,O2-官网专业名未匹配先补规则,H450,山东工商学院,S1-专业名匹配人工确认,官网专业名未匹配人工确认,C7-官网源未匹配专业需人工确认专业名,unmatched,has_partial_source_needs_followup,部分来源待结构化,0,1,1,0,0,0,0,0,1,0,0,0,,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
43,P0-立即处理,O2-官网专业名未匹配先补规则,H945,南宁学院,S1-专业名匹配人工确认,官网专业名未匹配人工确认,C7-官网源未匹配专业需人工确认专业名,unmatched,has_partial_source_needs_followup,部分来源待结构化,0,1,1,0,0,0,0,0,1,0,0,0,,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
44,P0-立即处理,O2-官网专业名未匹配先补规则,K485,西安财经大学,S1-专业名匹配人工确认,官网专业名未匹配人工确认,C7-官网源未匹配专业需人工确认专业名,unmatched,has_partial_source_needs_followup,部分来源待结构化,0,1,1,0,0,0,0,0,1,0,0,0,,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
45,P1-高收益自动补源,O5-已有来源补结构化,A195,兰州大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,46,0,0,0,46,0,0,0,42,0,,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
46,P1-高收益自动补源,O4-有入口但缺结构化源,K151,成都理工大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,50,0,0,0,50,0,0,0,0,0,http_412_precondition_failed,Q3-已有自动探针边界记录,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,最终候选前核第19期原页/官方系统；高校源不可得时不得用旧数据补计划数。；先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
47,P1-高收益自动补源,O4-有入口但缺结构化源,K345,云南大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,35,0,0,0,35,0,0,0,0,0,entry_200_api_403_forbidden,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,若进入最终候选，100% 回第19期原页/官方系统核专业组边界和计划数。；先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
48,P1-高收益自动补源,O4-有入口但缺结构化源,A022,北京林业大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,28,0,0,0,28,0,0,0,0,0,entry_timeout_api_timeout_previous_forbidden,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,若进入最终候选，100% 回第19期原页/官方系统核专业组和逐专业计划；高校官网只作辅助。；先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
49,P1-高收益自动补源,O4-有入口但缺结构化源,H439,山东财经大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,14,0,0,0,14,0,0,0,0,0,tls_handshake_failure_entry_and_api,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,若进入最终候选，100% 回第19期原页/官方系统核逐专业字段。；先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
50,P1-高收益自动补源,O5-已有来源补结构化,F099,天津外国语大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,12,0,0,0,12,0,0,0,12,0,,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
51,P1-高收益自动补源,O4-有入口但缺结构化源,K345,云南大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,has_partial_source_needs_followup,部分来源待结构化,0,1,11,0,0,0,0,11,0,0,0,0,entry_200_api_403_forbidden,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,若进入最终候选，100% 回第19期原页/官方系统核专业组边界和计划数。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
52,P1-高收益自动补源,O5-已有来源补结构化,A135,山东大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,13,0,0,0,13,0,0,3,7,0,,Q1-有结构化源且存在计划数一致候选,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
53,P1-高收益自动补源,O4-有入口但缺结构化源,A022,北京林业大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,has_partial_source_needs_followup,部分来源待结构化,0,1,8,0,0,0,0,8,0,0,0,0,entry_timeout_api_timeout_previous_forbidden,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,若进入最终候选，100% 回第19期原页/官方系统核专业组和逐专业计划；高校官网只作辅助。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
54,P1-高收益自动补源,O5-已有来源补结构化,F305,忻州师范学院,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,8,0,0,0,8,0,0,0,7,0,,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
55,P1-高收益自动补源,O5-已有来源补结构化,K153,成都信息工程大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,9,0,0,0,9,0,0,2,4,0,,Q1-有结构化源且存在计划数一致候选,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
56,P1-高收益自动补源,O5-已有来源补结构化,C150,武汉商学院,S2-高校官网来源结构化刷新,字段辅证补结构化,C3-字段辅证补充结构化后核原页,field_support,has_reusable_2026_hubei_plan_source,HTML,2,0,19,0,0,0,0,0,0,0,0,0,,Q6-来源质量待补充,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,复跑或补结构化现有高校来源文件，只输出diff和任务桶；字段事实仍回PDF原页和湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
57,P1-高收益自动补源,O5-已有来源补结构化,A033,中国传媒大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,10,0,0,0,10,0,0,3,2,0,,Q1-有结构化源且存在计划数一致候选,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
58,P1-高收益自动补源,O5-已有来源补结构化,K485,西安财经大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,6,0,0,0,6,0,0,0,6,0,,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
59,P1-高收益自动补源,O5-已有来源补结构化,K486,西安邮电大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,6,0,0,0,6,0,0,0,5,0,,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
60,P1-高收益自动补源,O4-有入口但缺结构化源,H439,山东财经大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,has_partial_source_needs_followup,部分来源待结构化,0,1,5,0,0,0,0,5,0,0,0,0,tls_handshake_failure_entry_and_api,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,若进入最终候选，100% 回第19期原页/官方系统核逐专业字段。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
61,P1-高收益自动补源,O4-有入口但缺结构化源,K151,成都理工大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,has_partial_source_needs_followup,部分来源待结构化,0,1,3,0,0,0,0,3,0,0,0,0,http_412_precondition_failed,Q3-已有自动探针边界记录,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,最终候选前核第19期原页/官方系统；高校源不可得时不得用旧数据补计划数。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
62,P1-高收益自动补源,O5-已有来源补结构化,K488,西安医学院,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,3,0,0,0,3,0,0,0,3,0,,Q2-有入口或本地种子可复跑,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,复跑已有入口或转录已留存来源，抽取湖北物理普通本科逐专业结构化行。
63,P2-常规自动补源或抽检,O7-强辅证抽检,C150,武汉商学院,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,HTML,2,0,14,0,0,14,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
64,P2-常规自动补源或抽检,O7-强辅证抽检,K153,成都信息工程大学,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,HTML,1,1,13,0,0,13,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
65,P2-常规自动补源或抽检,O7-强辅证抽检,H001,杭州电子科技大学,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,XLS/XLSX,1,1,9,0,0,9,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
66,P2-常规自动补源或抽检,O7-强辅证抽检,C108,江汉大学,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,API/JSON,1,1,7,0,0,7,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
67,P2-常规自动补源或抽检,O7-强辅证抽检,K753,喀什大学,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,XLS/XLSX,1,1,6,0,0,6,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
68,P2-常规自动补源或抽检,O7-强辅证抽检,H002,浙江工业大学,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,结构化CSV,1,0,5,0,0,5,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
69,P2-常规自动补源或抽检,O6-继续搜索高校官网计划源,A032,北京语言大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,has_partial_source_needs_followup,部分来源待结构化,0,1,1,0,0,0,0,1,0,0,0,0,structured_source_retained_parser_or_match_rule_needed,Q3-已有自动探针边界记录,沿用自动探针边界，只走公开浏览器交互或静态附件，不绕过访问限制。,人工只核 C6 未匹配行、计划数冲突行和新增源命中抽检。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,沿用自动探针边界，只走公开浏览器交互或静态附件，不绕过访问限制。
70,P2-常规自动补源或抽检,O7-强辅证抽检,H450,山东工商学院,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,4,0,0,4,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
71,P2-常规自动补源或抽检,O7-强辅证抽检,A197,西北民族大学,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,API/JSON,1,1,3,0,0,3,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
72,P2-常规自动补源或抽检,O6-继续搜索高校官网计划源,K465,西安建筑科技大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,has_partial_source_needs_followup,部分来源待结构化,0,1,1,0,0,0,0,1,0,1,0,0,,Q1-有结构化源且存在计划数一致候选,继续搜索高校官网2026湖北计划源，优先可下载附件、公开API和静态表。,优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,继续搜索高校官网2026湖北计划源，优先可下载附件、公开API和静态表。
73,P2-常规自动补源或抽检,O7-强辅证抽检,A135,山东大学,S3-强辅证分层抽检,强辅证分层抽检,C2-强辅证抽检并等待湖北官方闭环,strong_support,has_reusable_2026_hubei_plan_source,API/JSON,1,1,2,0,0,2,0,0,0,0,0,0,,Q6-来源质量待补充,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。,按学校、页列、专业组分层抽检；抽检失败即升级同页列、同校或同组100%核验，并回湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,按分层抽检规则抽检强辅证行，抽检失败升级同页列/同校/同组。
