抽样批次,抽样理由,原页核验结果,湖北官方核验结果,高校辅证核验结果,是否需要升级同组核验,核验备注,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组内专业序号,专业代号OCR,专业名称及备注短摘,专业偏好方向,城市候选,公办民办机器线索,家庭底线属性动作,机器专业接受度初判,专业风险类型,是否超预算机器初判,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,字段缺口数,字段缺口字段,人工核验优先级,人工核验强度,是否必须100%人工核验,是否可低风险抽检,是否可作为机器初筛线索,PDF原页核验状态,湖北官方系统核验状态,高校官网来源状态,高校官网证据匹配状态,历史线索分层,同代码命中年份数,历史最高等位分差,历史最低等位分差,来源页码,版面列,专业行ID,专业组出现ID,机器核验下一步,人工核验下一步,不得进入原因,下一步
S046,优先城市抽样：武汉/成都/西安/北京,,,,,,A141,武汉大学,A14111,7,45,导航工程（智能导航创新班）,,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,25,4500,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,158,141,39,left,M-b45cc64e30e12345,G-2525ce46eaa96cac,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S047,优先城市抽样：武汉/成都/西安/北京,,,,,,K170,成都体育学院,K17005,1,05,中医骨伤科学（不予录取色弱、色盲考生；办学地点：东部新区校区；学制：五,,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,false,不限,2,6960,0,,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H0-无同代码历史线索,0,,,212,left,M-15f3875cb3528235,G-f748cc6af851c374,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S048,优先城市抽样：武汉/成都/西安/北京,,,,,,C223,武汉文理学院,C22307,31,39,通信工程（移动通信方向）,,武汉,民办-教育部备注民办,默认不进主方案-民办线索,待了解-未命中当前偏好方向,,pending_tuition_field_review,,18,,2,再选科目；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,3,-32,-39,89,left,M-e03adc173f61b4d6,G-a0069f2cb09789bf,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S049,优先城市抽样：武汉/成都/西安/北京,,,,,,K466,西安科技大学,K46603,13,18,地质工程（卓越班）,,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,4,6000,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,73,52,223,right,M-207a3122461e98bc,G-1c5981e631f8cff2,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S050,优先城市抽样：武汉/成都/西安/北京,,,,,,C210,武汉工程科技学院,C21003,3,22,电气工程及其自动化,,武汉,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,true,,173,25800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,2,-60,-68,85,left,M-e7f54e5677e86eed,G-4f487168edb8630f,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S051,优先城市抽样：武汉/成都/西安/北京,,,,,,C117,武汉纺织大学,C11705,2,38,电子信息工程《嵌入式方向；办学地点：阳光校区）,,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,126,5850,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,60,58,72,right,M-aa9475d057565ed6,G-8c925cc0bbe0a6d8,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S052,优先城市抽样：武汉/成都/西安/北京,,,,,,A027,北京师范大学,A02706,2,17,化学（办学地点：北京校区）,,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,3,5400,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,164,129,17,left,M-fb7c99355576f974,G-f5e59c38e1a046d4,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S053,优先城市抽样：武汉/成都/西安/北京,,,,,,K153,成都信息工程大学,K15303,1,08,大气科学（英才班：办学地点：航空港校区）,,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,1,6240,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H5-历史最高线高于等位分30分以上,3,106,77,209,right,M-1a7b2461a8b5e914,G-da28b340e07817ef,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,回到原PDF页重读缺口字段，补出候选后再进入筛选视图。
S054,优先城市抽样：武汉/成都/西安/北京,,,,,,K151,成都理工大学,K15107,2,13,经济学,,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,,5760,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H5-历史最高线高于等位分30分以上,2,112,85,208,left,M-2f7a4c83fe82614f,G-f513505227a4a3d6,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
S055,优先城市抽样：武汉/成都/西安/北京,,,,,,A027,北京师范大学,A02706,5,20,环境科学与工程类（环境科学、环境生态工程；办学地点：北京校区）,,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,2,5400,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,164,129,17,left,M-56d69100ed27404d,G-f5e59c38e1a046d4,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S056,优先城市抽样：武汉/成都/西安/北京,,,,,,A141,武汉大学,A14112,9,55,只腔医学（5+3一体化；不招收色弱、色直考生；学制：五年）,,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,false,,8,5850,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,167,140,39,left,M-b7e06bbd990e14bf,G-2b6c0f4e3115adb7,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S057,优先城市抽样：武汉/成都/西安/北京,,,,,,C217,武汉工商学院,C21703,10,23,物流工程,,武汉,民办-教育部备注民办,默认不进主方案-民办线索,默认不能接受-高收费或超预算,,true,,7,22800,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,3,-30,-41,87,left,M-6783c2dd6c9c022d,G-ac6d902cd3d6a54a,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S058,优先城市抽样：武汉/成都/西安/北京,,,,,,A054,华北电力大学（北京）,A05405,2,23,能源与动力工程（办学地点：北京校部）,,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,,5500,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,1,95,95,20,left,M-97d2eb10578a06fc,G-58c91781682b5349,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S059,优先城市抽样：武汉/成都/西安/北京,,,,,,C117,武汉纺织大学,C11705,1,37,电气工程及其自动化（办学地点：阳光校区）,,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,化学,118,5850,0,,P2-家庭费用调剂与三方闭环核,H2-自动官网核验后人工确认,false,false,true,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,60,58,72,right,M-73b91a3d8b6a8995,G-8c925cc0bbe0a6d8,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,结合家庭底线确认公办/费用/专业可接受性，再核完整专业组调剂范围。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S060,优先城市抽样：武汉/成都/西安/北京,,,,,,A026,北京中医药大学,A02604,4,13,中医学（色直、色弱及其他各类不熊准确识别颜色考生不予录取至医药学类意业：办学地点：良乡校区；学制：五,,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,false,,8,5800,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,124,73,17,left,M-f26423a9c4804029,G-bc351e105f2b5317,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S061,优先城市抽样：武汉/成都/西安/北京,,,,,,A209,中国矿业大学（北京）,A20902,2,04,大数据管理与应用,计算机类相关,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先了解-命中当前偏好方向,,false,,,5000,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,121,91,58,right,M-d9740f8feeb3d684,G-42eac2b4f5f76f7d,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,按页列集中核PDF原页、湖北官方计划入口、学校属性、校区和调剂范围。
S062,优先城市抽样：武汉/成都/西安/北京,,,,,,A022,北京林业大学,A02209,4,29,生物科学（中药学复合人才拔尖班；北京校区）,,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-医学护理等排除方向,医学/护理等排除方向,false,,,5500,2,再选科目；专业计划数,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H5-历史最高线高于等位分30分以上,2,105,99,16,left,M-d5c8c66d8b4a483f,G-d52715e94d8b1cf3,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S063,优先城市抽样：武汉/成都/西安/北京,,,,,,A022,北京林业大学,A02207,1,19,食品科学与工程（一、二年级在北京校区培养，三年级起在雄安校区培养）,,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,3,5500,1,再选科目,P1-字段缺口和B0B1辅证优先核,H1-页列集中人工核验,false,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,has_partial_source_needs_followup,,H5-历史最高线高于等位分30分以上,3,110,91,16,left,M-41d122a8c6da2224,G-61dc882808c37552,先自动复跑/结构化高校官网来源，再人工确认冲突字段。,按全19批页列Overlay补三字段候选，补齐后再做PDF原页、湖北官方、高校辅证三方一致性判断。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先自动复跑/结构化高校官网来源，再人工确认冲突字段。
S064,优先城市抽样：武汉/成都/西安/北京,,,,,,A183,西安交通大学,A18308,2,18,工科试验班（智能感知与仪器国卓班；测控技术与仪器：测控技术与仪器（智能感知方向）：办学地点：兴庆校区）,,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,146,120,52,right,M-e157818a100bd7ca,G-108466d436dc3420,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S065,优先城市抽样：武汉/成都/西安/北京,,,,,,A010,北京化工大学,A01007,1,29,本科预科班（少数民族预科班：国际经济与贸易（数智方向）；办学地点：昌平校区：学制：一年）,,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓判断-特殊限制待核,专项/预科/定向等特殊类型,false,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,1,111,111,14,left,M-323f32306ba0f129,G-7a7d7155051dac97,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S066,P0强阻断或冲突抽样,,,,,,A167,四川大学,A16708,1,30,电气工程及其自动化（中外合作办学）（人校后不能转专业；办学地点：江安校区）16709/四川大学第09组,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-高收费或超预算,中外合作或高收费；学费超过当前上限,pending_tuition_field_review,化学,80000,,2,专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,156,118,47,left,M-15eda7ffc3381f21,G-a062c4fea6af6b42,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S067,P0强阻断或冲突抽样,,,,,,A173,电子科技大学,A17302,2,04,工科试验班（电子工程类：电子科学与技术：电磁场与无线技术；办学地点：清水河校区）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,pending_tuition_field_review,,6500,,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,167,146,49,left,M-49a56752f21ea837,G-67a492e7d13d5500,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S068,P0强阻断或冲突抽样,,,,,,H119,安徽工程大学,H11901,4,04,材料科学与工程,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,,3,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,39,26,144,right,M-582c539b29dc5280,G-f96fab411e5fef9c,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S069,P0强阻断或冲突抽样,,,,,,A139,中国石油大学（华东）,A13903,26,28,智能感知工程（入学后可选拔进入仪器控制类特色班）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,,6600,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,112,97,38,right,M-dfaadf4e226cc8fb,G-cd42504cb607d48e,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S070,P0强阻断或冲突抽样,,,,,,H310,南昌大学,H31003,11,24,工商管理（材料科学双学位项目；不招单色不能识别的考生.工商管理+材料科学与工程双学士学位复合型人才培养项目：办学地点：前湖校区）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,待了解-未命中当前偏好方向,,false,,3,8950,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,1,93,93,152,left,M-a3006032a79e36db,G-2f8e3e9f5bc26669,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先做P0：核PDF原页结构、专业组归属和关键字段，再看官网辅证。
S071,P0强阻断或冲突抽样,,,,,,H836,广州城市理工学院,H83603,3,15,机械工程（主辅修双学位实验班）,,,民办-教育部备注民办,默认不进主方案-民办线索,待了解-未命中当前偏好方向,,false,,,2,2,再选科目；专业计划数,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H1-历史最高线低于等位分20分以上,3,-30,-42,192,right,M-b35eef99c6495534,G-fe3f9384af54d231,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S072,P0强阻断或冲突抽样,,,,,,A123,中国药科大学,A12302,3,05,药学类（药学：药物制剂：药物分析；药物化学；不招色盲色弱；办学地点：江宁校区）,,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不能接受-医学护理等排除方向,体检或色觉限制；医学/护理等排除方向,false,,22,7480,1,再选科目,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,2,115,93,34,left,M-caa90ad018a48878,G-930d27792d57bb80,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
S073,P0强阻断或冲突抽样,,,,,,H421,（山东理工大学,H42103,22,27,纺织工程（新型非织造材料设计及技H422 山东农业大学（公办）（山东）,,,未匹配-待核,先核学校名称或特殊院校,待了解-未命中当前偏好方向,,pending_tuition_field_review,,5500,,3,再选科目；专业计划数；学费,P0-最终候选/冲突/结构强阻断先核,H0-100%人工核验,true,false,false,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,not_yet_school_source_searched_in_full_workbench,,H5-历史最高线高于等位分30分以上,3,63,25,165,left,M-af15cb2ad04cefac,G-a05b247d299d9530,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。,先人工核PDF原页和同组边界；若高校官网/湖北官方字段冲突，按省招办材料优先并记录差异。,稳定基座筛选视图仍未完成PDF原页、湖北官方系统/省招办计划、高校官网/章程、家庭接受度和同组调剂结论闭环；不得用于最终志愿排序。,先核公办/民办/合作办学、费用和家庭底线；默认不进入主方案。
