个性化候选ID,候选主线,本轮分层,家庭讨论动作,是否进入本轮家庭讨论,是否可作为定稿依据,适配理由,关键风险,下一步核验动作,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,场景判断,场景内最低学费,场景内最高学费,预算内中外合作或高收费专业数,超过预算专业数,待核费用专业数,第19期页码,版面列,组内完整专业清单索引,专业组出现ID,来源表
PFITGROUP-23d6c36a4d245679,普通公办低费用主线,D-谨慎核验后再讨论,暂缓进入家庭讨论,false,false,含数字媒体、人工智能、计算机、数据科学、自动化、电子等方向，H3。,结构边界异常，统计/安全/应急方向是否接受待判断。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,H450,山东工商学院,H45004,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,4,1,3,0,0,0,0,16,H3-历史最高线高于等位分15分内,3,10,5,,,,,,,169,right,1.39 统计学[M-8ba195c86a925e83]；2.40 人工智能[M-90b2fc54c5bc2e5c]；3.41 数学与应用数学[M-9710c4b647b66507]；4.42 应用统计学[M-8007c889cbd9a1ae]；5.43 自动化[M-86ef54f0445df8fe]；6.44 电气工程及其自动化[M-7fc32d85e35b149c]；7.45 电子信息工程[M-c8e830f39a1d46bb]；8.46 通信工程[M-a8b31c9114605c03]；9.47 计算机科学与技术[M-cdfe659d6ddbb7d7]；10.48 数字媒体技术[M-13b19a3991c8159a]；11.49 安全工程[M-b4b8560bd289f9b5]；12.50 应急技术与管理[M-4a71a2765412ac2a]；13.51 数据计算及应用[M-7a3695c82b5953d6]；14.52 集成电路设计与集成系统[M-7489ddca4dfd3dd8]；15.53 数据科学与大数据技术[M-d7ad035436e7d0f7]；16.54 电子科学与技术H451 山东女子学院（公办）（山东）不限[M-b0e700912fffe743],G-69a8112ee16cf2ba,round1普通主线
PFITGROUP-b33daab94f3195d8,普通公办低费用主线,D-谨慎核验后再讨论,暂缓进入家庭讨论,false,false,武汉城市线索，含大数据管理与应用。,22 专业大组仅 1 个偏好相关，英语/语种限制和调剂接受度压力大。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C150,武汉商学院,C15003,03,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,2,22,H4-历史最高线高于等位分16-30分,3,20,6,,,,,,,80,left,1.21 零售业管理（智慧运营方向；大一在马影河校区就读，大二起在后官湖校区就读）[M-4c1c4f4512554f83]；2.22 零售业管理（数智营销方向：大一在马影河校区就读，大二起在后官湖校区就读）[M-e534fc736265c1f3]；3.23 大数据管理与应用（大一在马影河校区就读，大二起在后官湖校区就读）[M-ee113f80b04b7f51]；4.24 数字经济（大一在马影河校区就读，大資高謝亭院校专业组及专业代号二起在后官湖校区就读）[M-51b02b3e486666f8]；5.25 经济与金融（大一在马影河校区就读，大二起在后官湖校区就读）[M-f86b6ae14e4edb59]；6.26 南务经济学（大一在马影河校区就读，大二起在后官湖校区就读）[M-e16a5921623c531f]；7.27 经济统计学（大一在马影河校区就读，大二起在后官湖校区就读）[M-acb482f3064a0583]；8.28 税收学（大一在马影河校区就读，大三起在后官湖校区就读）[M-1501281b42200eee]；9.29 酒店管理（大一在马影河校区就读，大二起在后官湖校区就读）[M-f68c394eeefc5273]；10.30 会展经济与管理（大一在马影河校E就读，大二起在后官湖校区就读[M-0f6a13ef21ff0adb]；11.31 旅游管理与服务教育（大一在马影河校区就读，大二起在后官湖校区就读）[M-a961ae6bda479290]；12.32 商务英语（要求高考英语成绩不低于[M-552d949cc667dec8]；13.90 分（满分以150分计）：大一在马漿河校区就读，大二起在后官湖校区房读：外语语种：英语）[M-0e83de1e95002dfd]；14.33 國译（国际传損方向：要求高考英语成绩不低于90分（满分以150分计）：大在当影河校区就读，大二起在后官湖校区就读：外语语种：英语）[M-25748538eda5066c]；15.34 财务管理（大一在马影河校区就读，大二起在后官湖校区就读）[M-e307bfb7c77d59c7]；16.35 审计学（大一在马影河校区就读，大二起在后官湖校区就读）[M-2ce4650e19004f47]；17.36 会计学（大一在马影河校区就读，大二起在后官湖校区就读）[M-ee8edcf5d811b7c5]；18.37 物流管理（大一在马影河校区就读，大二起在后官湖校区就读）[M-13e7d081c377eb5c]；19.38 日语（商务方向：大一在马影河校区就读，大二起在后官湖校区就读）[M-608ab460a72422a3]；20.39 人力资源管理（大一在马影河校区就读，大二起在后官湖校区就读）[M-5def93e8f6b082ed]；21.40 电子商务（大一在马影河校区就读，大三起在后官湖校区就读）[M-f06016c6a1718579]；22.41 供应链管理（大一在马影河校区就读，大二起在后官湖校区就读）[M-d917e2bfc77e9dac],G-43eaec6deac85123,round1普通主线
PFITGROUP-b7cd096e925c1209,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,西安、公办线索、计算机中外合作方向贴合，历史线索在专项里相对可研究。,高收费且计划数字段需核，校区、证书、调剂和培养模式必须闭环。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K487,西安航空学院,K48703,03,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,1,0,1,H4-历史最高线高于等位分16-30分,,18,3,预算内中外合作/高收费可讨论,50000,50000,1,0,0,226,right,1.04 计算机科学与技术（中外合作办学）（属于高收费项目；办学地点：阎良[M-03904cd5b3a6cbd2],G-59294f9eefd08b10,expanded_budget_coop专项
PFITGROUP-2a3f610098a1a08f,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,成都优先城市，软件工程中外合作方向强贴合，费用候选 55000。,H0 无同代码历史，计划数小，非英语慎报等限制需核。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K153,成都信息工程大学,K15308,08,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,1,0,2,H0-无同代码历史线索,,,,预算内中外合作/高收费可讨论,55000,55000,1,0,0,209,right,1.38 软件工程（中外合作办学）（与匈牙利欧布达大学合作（4+0），中英双语教学，非英语语种考生慎报：办学地点：◎KAZX[M-71e5ea02db7bce1b]；2.G A-院校专业组及妻业代号航空港校区）K154四川轻化工大学（公办）（四川）[M-5a15f78413d6ffbd],G-a5ecc24f63421cfd,expanded_budget_coop专项
PFITGROUP-4a7ac5ec3051a488,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,数字媒体技术中外合作，第一偏好专业，费用候选 25000，H2。,学校层级一般，需核是否单专业组、培养模式和证书。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C139,荆楚理工学院,C13909,09,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,1,0,1,H2-历史最高线不高于等位分,,-10,-12,预算内中外合作/高收费可讨论,25000,25000,1,0,0,80,left,1.51 数字媒体技术（中外合作办学）[M-9972ec03f5ca7339],G-8167189bef4db0a8,expanded_budget_coop专项
PFITGROUP-c909e479fcfa18e3,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,厦门大学马来西亚校区，计算机/软件/AI/电子信息/自动化方向集中，品牌价值高。,海外校区、币种和生活成本、全英文、英语单科门槛都要逐条确认。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,A366,厦门大学（马来西亚校区）,A36603,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,4,,,,0,7,4,11,H0-无同代码历史线索,,,,预算内中外合作/高收费可讨论,30000,32000,7,0,0,63,right,1.08 化学工程与工艺（厦门大学马来西亚分校招生专业；学费币种：林吉特外语英文授课，非英语语种考生慎报单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-565d37bebd05cab1]；2.09 新能源科学与工程（厦门大学马来西要分校招生专业；学费币种：林壴特全英文授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦[M-3e09d2f2ca00491c]；3.10 计算机科学与技术（厦门太学马来西亚分校招生专业：学费币种：林吉特金英文授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标夹语成须后尹始学位课程学习.办学地点在马来西亚雪邦）[M-dfdacba2ae93a029]；4.11 软件工程（厚门大学马来西亚分校招生专业；学费币种：林吉特：全英文招课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-eb5a832e02258f26]；5.12 电子信息工程（厦门大学马来西亚分校招生专业：学费币种：林吉特：含英文授课，非英语语种考生馍报，外语身科示低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪[M-adfffa085f089974]；6.13 数学与应用数学（厦门大学马来西亚AKAZG院校专业组及—业代号分校招生专业；学费币种：林吉特：全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-aa7c01a909a8ed49]；7.14 物理学（夏门大学马来西亚分校招生专业：学费币种：林吉特；全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-9ac2f162e0a5d6cc]；8.15 人工智能（厦门大学马来西亚分校招生专业：学费币种：林吉特：全英文授课，非英语语种考生慎报，外语单科不低于120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-5ed7da82f3a73994]；9.16 数据科学（厦门大学马来西亚分校招生专业：学费币种：林吉特：全英文授读，非英语语种考生慎报，外语单科不低于120分，入学第一學年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪邦）[M-8144e5728b9ab566]；10.17 网络空间安全（厦门大学马来西亚分校招生专业：学费币种：林吉特；全英艾授课，非英语语种考生慎报，外语单科不低于120分，入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习.办学地点在马来西亚雪[M-583e6f13accfc7f6]；11.18 自动化（厦门大学马来西亚分校招生专业：学费币种：林吉特；全英文授课，非英语语种考生馍报，外语单科不低F120分.入学第一学年内获得专业要求的达标英语成绩后开始学位课程学习. 办学地点在马来西亚雪邦）A503 陆军工程大学（公办）（江苏）[M-df5088d5585663ac],G-fbfabe51ff5f6b94,expanded_budget_coop专项
PFITGROUP-04c2f264a2ff04e0,7万内中外合作/高收费专项,A-专项优先核验,进入专项讨论,true,false,哈尔滨工程大学层次高，电子信息方向值得单列研究。,H0，3+1、不得转专业、出国费用和真实录取概率需补证。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,A085,哈尔滨工程大学,A08521,21,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,,,,0,3,0,3,H0-无同代码历史线索,,,,预算内中外合作/高收费可讨论,44300,45000,3,0,0,25,right,1.34 机盛设让制晋及基息致化（中外合作办学）（与英国斯旺西大学合作，模式，中英文授课，入学不得转专业）[M-b7b4736d8d08f8c5]；2.35 材料物理（中外合作办学）（与英国斯旺西大学合作.异常考生）[M-5482d27ee4364f5e]；3.36 电子信息工程（中外合作办学）（与英国阿伯丁大学合作“3+！”模式，中英文授课，入学不得转专业）[M-9eefd8156e6ff84c],G-ee92fc651b6a40ec,expanded_budget_coop专项
PFITGROUP-c4c27f378c11ed58,7万内中外合作/高收费专项,B-高价值高冲观察,谨慎进入专项讨论,true,false,武汉科技大学，信息与计算科学、机器人工程方向强，费用候选卡 70000。,H5 高冲，费用正好上限，组边界和调剂需先核。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C102,武汉科技大学,C10212,12,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,2,,,,0,3,0,3,H5-历史最高线高于等位分30分以上,,54,54,预算内中外合作/高收费可讨论,70000,70000,3,0,0,65,right,1.60 信息与计算科学（中外合作办学）（建，“4+0”双证培养议英语语种考生报考模式，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德里康普顿斯杰学应用数据科学学士学位证书；办学地点：黄家湖校区）[M-5b3fb7e1bcf02a85]；2.61 统计学（中外合作办学）（建议英语语“4+0”双证培养模式，达种考生报考，到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德里康普顿斯大学应思统计学学士学位证书；办学地点：黄冢湖校区）[M-18299d1cc9faa61b]；3.62 机器人工程（中外合作办学）（建议英“4+0”双证培养模语语种考生报考式，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书、学士学位证书和西班牙马德果康普顿斯大学数据工程与人工智能学士学位证书：办学地点：黄家湖校区）C103 湖北大学...[M-0015a837bc6e2e24],G-5a6ab11f6c9e9e54,expanded_budget_coop专项
PFITGROUP-82bba71495ff12a8,7万内中外合作/高收费专项,B-高价值高冲观察,谨慎进入专项讨论,true,false,武汉科技大学，网络工程方向贴合，学校和城市有吸引力。,H5 且历史差距大，只能作为高冲观察，不占稳妥名额。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C102,武汉科技大学,C10211,11,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,2,0,2,H5-历史最高线高于等位分30分以上,,88,57,预算内中外合作/高收费可讨论,35800,39800,2,0,0,65,right,1.58 机械工程（中外合作办学）（建议英语语种考生报考，合作院校：澳大利亚迪大学，达到毕业要求和学位授予条件可获得武汉科技大学本科毕业证书，学士学位证书；办学地点：黄家湖校区）[M-7dd57df9a79e416d]；2.59 网络工程（中外合作办学）（建议英语语种考生报考4+0“双证培养模式达到毕业要求和学位授予条件可获得学去学燕汉科技大学本科果业亚节、位证书和英国伯明翰城市大学计算机网络与安全莱誉理学学士学位证书；办学地点：黄家湖校区）[M-3ca2e9f534421633],G-7e24ed346e3f1516,expanded_budget_coop专项
PFITGROUP-96491da11f004543,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,吉林师范大学软件工程方向，费用候选 20000，H3。,同组环境工程有体检限制线索，需判断调剂可接受性。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F589,吉林师范大学,F58906,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,2,0,2,H3-历史最高线高于等位分15分内,,10,-1,预算内中外合作/高收费可讨论,20000,20000,2,0,0,121,left,1.08 软件工程（国际本科学术互认课程专业：办学地点：四平校区）[M-2f865ec3d85aab83]；2.09 环境工程（国际本科学术互认课程专GAKAZ业，不招色弱、色盲、单一颜色不能识别者：办学地点：四平校区）[M-3711f34adca30e97],G-32706d004516e53e,expanded_budget_coop专项
PFITGROUP-d4268b65253d4e72,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,长春大学电子信息工程方向，费用候选 26000，H2。,计划数和合作院校、证书需核。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F600,长春大学,F60017,17,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,,,,0,1,0,1,H2-历史最高线不高于等位分,,-8,-8,预算内中外合作/高收费可讨论,26000,26000,1,0,0,122,right,1.25 电子信息工程（中外合作办学）（与韩国青云大学合作办学：办学地点：卫星校区）[M-580d701c209d0882],G-f2091a7e79c7d190,expanded_budget_coop专项
PFITGROUP-23245498d47267d0,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,南昌航空大学软件工程方向，费用候选 28000，工科背景可研究。,H0，英文课程/双学位/历史替代组需核。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,H313,南昌航空大学,H31310,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,1,0,1,H0-无同代码历史线索,,,,预算内中外合作/高收费可讨论,28000,28000,1,0,0,154,right,1.52 软件工程（中外合作办学）（南員市上海路校区就读；与白俄罗斯国立大学合作，中白双学位，其中引进外方课程为全英文授课，其他语种考生慎报）[M-c702c01021eb49ec],G-75e12099a5064f76,expanded_budget_coop专项
PFITGROUP-b0c4027ebe353aa6,7万内中外合作/高收费专项,B-专项可研究,进入专项讨论,true,false,山东交通学院计算机方向，费用候选 45000，专业贴合。,H0，小计划风险和双证真实性需核。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F449,山东交通学院,F44904,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,3,0,3,H0-无同代码历史线索,,,,预算内中外合作/高收费可讨论,45000,45000,3,0,0,169,right,1.21 计算机科学与技术（中外合作办学（双证，俄罗斯顿河国立技术大学；办学地点：长清校区）[M-138481f2e28a9775]；2.22 交通运输（中外合作办学）（双证，俄罗覆優河国立技术大学；办学地点：长清[M-759e989351f82bd4]；3.23 生木工程（中外合作办学）（双证，俄罗叛顿河国立技术大学；办学地点：长清校区）H450 山东工商学院（公办）（山东）[M-d99877e0c9464f70],G-fb29084e6c0d60a8,expanded_budget_coop专项
PFITGROUP-f23177bdf27475f8,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,湖北理工学院中外合作费用低，H2 接近。,专业为机械，不是最高偏好，需确认是否愿意读。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,C138,湖北理工学院,C13815,15,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,,,,0,1,0,1,H2-历史最高线不高于等位分,,-1,-2,预算内中外合作/高收费可讨论,22800,22800,1,0,0,79,right,1.67 机械设计制造及其自动化（中外合作办学）（非英语语种考生慎报）[M-5edc934771dbf416],G-21e14f5f768e5237,expanded_budget_coop专项
PFITGROUP-d594ccc2827744c7,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,吉林师范大学电子信息方向，费用可控，H3。,存在串页/组边界风险，先确认学校与专业组归属。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F589,吉林师范大学,F58907,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,1,0,1,H3-历史最高线高于等位分15分内,,8,-4,预算内中外合作/高收费可讨论,26000,26000,1,0,0,121,right,1.10 电子信息工程（中外合作办学）（与美图拉特诺大学合作办学：办学地点：四F590 吉林工程技术师范学院（公办）（吉林）[M-0d32217adcdfa38c],G-10adbbd8abe0ef20,expanded_budget_coop专项
PFITGROUP-cbf71e454ae68950,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,长春大学自动化方向，费用候选 26000，H3。,俄方合作，授课语言、4+0/出国安排和证书需核。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F600,长春大学,F60016,16,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,0,,,,0,1,0,1,H3-历史最高线高于等位分15分内,,10,10,预算内中外合作/高收费可讨论,26000,26000,1,0,0,122,right,1.24 自动化（中外合作办学）（与俄罗斯马斯季诺夫波罗的海国立技术大学合作办学：办学地点：卫星校区）[M-3f6c86ee41c1be8a],G-f5a9e8d0e8d1e1ac,expanded_budget_coop专项
PFITGROUP-bed16bc5f1102ff9,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,贵州商学院数据科学方向，H2，录取安全线索较好。,费用 60000 但学校层级不占优，性价比需要家庭判断。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,K273,贵州商学院,K27302,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,1,0,1,H2-历史最高线不高于等位分,,-12,-12,预算内中外合作/高收费可讨论,60000,60000,1,0,0,216,right,1.02 数据科学与大数据技术（中外合作办学）（学费上限：60000元/学年学费金额严格按照贵州省价格主管部门批准的项目及标准执行）K274 贵州警察学院（公办）（贵州）[M-e3e8ed4c935ec557],G-7928cd3ff8c9fa3f,expanded_budget_coop专项
PFITGROUP-4a7581b341b03b6e,7万内中外合作/高收费专项,C-专项保守观察,谨慎进入专项讨论,true,false,桂林旅游学院数据科学方向，H3 接近。,有只录有专业志愿线索和串页风险，先核组边界。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,H912,桂林旅游学院,H91203,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,1,0,1,H3-历史最高线高于等位分15分内,,1,-7,预算内中外合作/高收费可讨论,59800,59800,1,0,0,198,right,1.03 数据科学与大数据技术（中外合作办学）（高收费专业，不招无此志愿考生学生完成四年国内学习可获得本校毕业证、学位证及外方学位证）「H914广西农业职业技术大学（公办）（广西）[M-5009c03284f6a512],G-01ebed11db067d72,expanded_budget_coop专项
PFITGROUP-6f07e06b9dda6357,7万内中外合作/高收费专项,D-专项暂缓,暂缓进入专项讨论,false,false,桂林理工大学软件/网络方向贴合，费用在预算内。,H5 高冲且 OCR 有串页风险，先不投入主核验。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,H893,桂林理工大学,H89304,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,2,,,,0,2,0,2,H5-历史最高线高于等位分30分以上,,40,9,预算内中外合作/高收费可讨论,57000,57000,2,0,0,196,left,1.23 软件工程（中外合作办学）（办学地点生林雁山校区）[M-e65829e30962a572]；2.24 网络工程（中外合作办学）（办学地点：桂林雁山校区）H894广西医科大学（公办）（广西）[M-af076575d5aee2f6],G-208ba86b1a09d149,expanded_budget_coop专项
PFITGROUP-bd39470b0dfef4f9,7万内中外合作/高收费专项,D-专项暂缓,暂缓进入专项讨论,false,false,厦门大学嘉庚学院计算机/软件方向和费用看似友好。,民办独立学院，不能按厦门大学主校理解，除非保底不足再讨论。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,F273,厦门大学嘉庚学院,F27306,06,,民办-教育部备注民办,默认不进主方案-民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,2,,,,0,2,0,2,H0-无同代码历史线索,,,,预算内中外合作/高收费可讨论,23000,23000,2,0,0,150,right,1.22 计算机科学与技术（办学地点：厦门大学漳州校区）[M-f9f520744946f450]；2.23 软件工程（办学地点：厦门大学漳州校[M-95da5a1626079db1],G-6955bf0992b6564c,expanded_budget_coop专项
PFITGROUP-757adc25556b7efa,7万内中外合作/高收费专项,E-排除或仅留风险记录,不进入家庭讨论,false,false,中国地质大学（武汉）学校和城市有吸引力。,费用线索超过 70000 或待核且 H5 明显高冲，当前口径不进入讨论。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,A145,中国地质大学（武汉）,A14509,09,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,1,,,,0,2,0,2,H5-历史最高线高于等位分30分以上,,112,104,费用待核,72000,72000,0,1,1,41,left,1.52 机械设计制造及其自动化（中外合作办学）（德国安哈尔特应用技术大学）14510中国地质大学（武汉）第10组[M-9c455737ff29c870]；2.53 计算机科学与技术（中外合作办学）（智能方向：澳大利亚科廷大学）[M-90b4155a5843271c],G-340555f92113ad53,expanded_budget_coop专项
PFITGROUP-3368b799ec01775a,7万内中外合作/高收费专项,E-排除或仅留风险记录,不进入家庭讨论,false,false,南昌大学 211 和计算机/软件方向有吸引力。,费用文本写 80000 待核且有体检限制线索，按超预算风险处理。,回看第19期原页和完整专业组；核湖北官方系统或省招办计划；核高校招生章程、学费、培养模式、语种/单科/体检限制、校区、计划数和调剂范围。,H310,南昌大学,H31011,11,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在高收费/超预算专业,调剂风险线索-组内存在默认不能接受专业,2,,,,0,2,0,2,H0-无同代码历史线索,,,,费用待核,,,0,0,2,152,right,"1.68 计算机科学与技术（中外合作办学（中法双学位合作办学；不招单色不能识别的考生，培养模式为“4+0”毕业时符合条件者可获南昌大学毕业证书、学士学位证书及合作方（法国雷昂那多达芬奇高等工程师学院）院校学士学位证书：学费暂定80000元/学年，具体...[M-98339d528e84465a]；2.69 软件工程（中外合作办学）（中法双学位合作办学：培养模式为”4+0""，毕业时符合条件者可获南昌大学毕业证书、学士学位证书及合作方（法国雷昂那多达芬奇高等工程师学院）院校学士学位证书：学费暂定 80000元/学院校专业组及专业代号年，具体以上级...[M-60751bf64d06d79d]",G-09c3c3c51b4fc717,expanded_budget_coop专项
