志愿序号,草案梯度,讨论批次,二次核验优先级,是否进入主草表,是否可作为定稿依据,推荐进入原因,核心风险,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,历史线索分层,历史最高等位分差,历史最低等位分差,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,专业明细行数,建议专业1,建议专业2,建议专业3,建议专业4,建议专业5,建议专业6,组内待确认专业摘录,服从调剂草案,二次核验动作,第19期页码,版面列,专业组出现ID,来源候选层
23,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,命中方向：计算机/AI/软件3个、电子/网络1个、机械/自动化/机器人4个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,F311,太原工业学院,F31102,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,10,-9,3,0,3,0,10,09 物联网工程,15 软件工程,14 计算机科学与技术,06 机械电子工程GAKA一•z专业组及专业代号,07 智能制造工程,12 电气工程及其自动化,08 智能车辆工程(字段缺口待核)；10 智能无人系统技术(字段缺口待核)；11 测控技术与仪器（屈光不正（近视眼或远视眼）任何一眼矫正后镜片度数大于400度者，不宜就读）(字段缺口待核)；13 机器人工程(主线偏好-工科信息制造),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,109,right,G-9d5ccd6576a2150a,round2-updated-preferences
24,稳冲,B2-稳冲主线批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件4个、机械/自动化/机器人3个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,H907,广西科技师范学院,H90703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,3,-5,4,0,4,0,9,13 数据科学与大数据技术（办学地点：来宾校区）,09 人工智能（办学地点：来宾校区）,12 软件工程（办学地点：来宾校区）,11 计算机科学与技术（办学地点：来宾校,06 智能制造工程（办学地点：柳州校区）,08 患气工程及其自动化（办学地点：来宾校区）,05 汽车服务工程（办学地点：柳州校区）(字段缺口待核)；07 智能车辆工程（办学地点：柳州校区）AKAZG院校麦业组及专业代号(字段缺口待核)；10 机器人工程（办学地点：柳州校区）(主线偏好-工科信息制造),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,197,right,G-15959a491546a66c,round2-updated-preferences
25,稳冲,B2-稳冲主线批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件3个、电子/网络3个、机械/自动化/机器人2个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,H330,新余学院,H33005,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,5,-1,3,0,3,0,8,25 物联网工程,22 智能科学与技术,23 软件工程,24 电子信息工程,26 通信工程,20 机械设计制造及其自动化,21 机器人工程(主线偏好-工科信息制造)；19 期資亮院校专业组及专业代号(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,160,left,G-85925ffa88fd8ce1,round2-updated-preferences
26,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,命中方向：计算机/AI/软件4个、电子/网络1个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,C138,湖北理工学院,C13813,13,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,7,-8,4,0,4,0,4,65 网络工程,64 软件工程,62 计算机科学与技术（不招单色识别不,33 计算机科学与技术（创新实验班；不扌,,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,79,right,G-09d01ff8dec8280c,round2-updated-preferences
27,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,命中方向：计算机/AI/软件4个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K755,新疆财经大学,K75504,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,3,-9,3,0,3,0,7,38 数据科学与大数据技术,40 网络空间安全,41 人工智能,39 计算机科学与技术,35 经济统计学,36 统计学ZAKA。院校专业组及专业代亭,37 金融数学（数学单科成绩不低于70(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,235,right,G-c60556809274769b,round2-updated-preferences
28,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,命中方向：数字媒体1个、计算机/AI/软件1个、电子/网络2个、机械/自动化/机器人1个、师范1个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K753,喀什大学,K75307,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,2,-15,3,1,1,1,8,22 网络工程（需满足数学单科成绩≥60分：办学地点：新泉校区）,24 数字媒体技术（番满足数学单科成绩≥60分：办学地点：新泉校区）,25 通信工程（需满足数学单科成绩≥60分：办学地点：新泉校区）,20 物理学（师范类；需满足数学单科成绩≥60分：办学地点：新泉校区）,23 电气工程及其自动化（需满足数学单科成绩≥60分：办学地点：新泉校区）,21 电子息科学与技术（需满足数学单科成绩≥60分；办学地点：新泉校区）,26 交通工程（需满足数学单科成绩≥60分：办学地点：东城校区）(字段缺口待核)；27 道路桥梁与渡河工程（需满足数学单（科成绩≥60分：办学地点：东城校区）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,235,left,G-773111c0b1e7a465,round2-updated-preferences
29,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,命中方向：计算机/AI/软件1个、电子/网络1个、机械/自动化/机器人3个、环境2个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,F583,吉林建筑大学,F58303,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,8,-15,1,0,1,0,19,20 计算机科学与技术（办学地点：净月校,22 地理空间信息工程（办学地点：净月校,10 机械工程（办学地点：净月校区）,18 电气工程及其自动化（办学地点：净月校区）,19 自动化（办学地点：净月校区）,14 环境工程（办学地点：净月校区）,08 土木工程（办学地点：净月校区）(调剂接受度待判断)；09 工程力学（办学地点：净月校区）(字段缺口待核)；1 城市地下空间工程（办学地点：净月校(字段缺口待核)；12 给排水科学与工程（办学地点：净月校(字段缺口待核)；13 建筑环境与能源应用工程（办学地点：净月校区）(字段缺口待核)；15 环境科学（办学地点：净月校区）(可了解-环境)；16 高分子材料与工程（办学地点：净月校(字段缺口待核)；17 道路桥梁与渡河工程（办学地点：净月校区）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,119,right,G-30d1416d72ea0545,round2-updated-preferences
30,稳冲,B2-稳冲主线批,V1-核计划数、组内专业和调剂,true,false,命中方向：计算机/AI/软件1个、电子/网络2个、机械/自动化/机器人2个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,A197,西北民族大学,A19717,17,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H3-历史最高线高于等位分15分内,5,5,1,0,1,0,5,25 人工智能（办学地点：榆中校区）,22 电子信息工程（办学地点：榆中校区）,26 通信工程（办学地点：榆中校区）,23 电气工程及其自动化（办学地点：榆中校区）,24 自动化（办学地点：榆中校区）,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,57,left,G-fc81847787fdf794,round2-updated-preferences
31,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,湖北省内公办工科，计算机/人工智能/自动化/机器人等方向集中，H2 历史线索贴近等位分。,组内 15 个专业，需确认汽车产业方向、校区和完整调剂范围。,C131,湖北汽车工业学院,C13107,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-3,-5,8,0,8,0,15,74 数据科学与大数据技术,68 计算机科学与技术（大数据技术）,59 人工智能（智能驾驶）GKAZA院校代号,67 计算机科学与技术（智能软件）,69 信息安全（智能汽车安全）,70 智能科学与技术（智能网联）,60 电子信息科学与技术（汽车芯片）(主线偏好-工科信息制造)；61 智能测控工程（汽车智能测控）(字段缺口待核)；62 电子信息工程（汽车电子工程）63（智能电网信息工程（汽车产业）(主线偏好-工科信息制造)；64 电气工程及其自动化（汽车产业）(主线偏好-工科信息制造)；65 自动化（汽车产业）(主线偏好-工科信息制造)；66 机器人工程（汽车产业）(主线偏好-工科信息制造)；71 智能科学与技术（智能汽车）(主线偏好-计算机/数字媒体)；72 智能无人系统技术（低空技术）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,77,left,G-c60fd32db2360718,personal-fit-v1+round2-updated-preferences
32,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,电气、电子、自动化、机器人、计算机、软件、数据科学、人工智能方向较完整，H2。,组内专业多，土木/焊接/水利等非偏好方向需判断调剂接受度。,F597,长春工程学院,F59704,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-2,-25,3,0,3,0,17,21 数据科学与大数据技术（办学地点：湖,20 软件工程（办学地点：湖东校区）,19 计算机科学与技术（办学地点：湖东校,07 电子信息工程（办学地点：湖西校区）,08 智能电网信息工程（办学地点：湖西校区）,06 电气工程及其自动化（办学地点：湖西校区）,09 百动化（办学地点：湖西校区）(字段缺口待核)；10 土木工程（办学地点：湖西校区）(字段缺口待核)；11 焊接技术与工程（办学地点：湖西校(字段缺口待核)；12 机械设计制造及其自动化（办学地点：湖西校区）(主线偏好-工科信息制造)；13 机器人工程（办学地点：湖西校区）(主线偏好-工科信息制造)；14 给排水科学与工程（办学地点：湖西校(字段缺口待核)；15 水利水电工程（办学地点：湖西校区）(字段缺口待核)；16 建筑电气与智能化（办学地点：湖西校(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,122,left,G-82c00bbc0942940e,personal-fit-v1+round2-updated-preferences
33,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,湖北省内公办，计算机/物联网/智能科学/机器人与师范方向都有线索，H2。,组内含机械、材料、飞行器制造等，家庭必须判断能否接受。,C139,荆楚理工学院,C13908,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,0,-12,4,0,3,1,11,49 物联网工程,48 智能科学与技术,50 计算机科学与技术,40 数学与应用数学（师范类）,43 机械设计制造及其自动化,45 智能制造工程,4 数据计算及应用(字段缺口待核)；42 应用物理学(字段缺口待核)；44 材料成型及控制工程(字段缺口待核)；46 飞行器制造工程(字段缺口待核)；47 机器人工程(主线偏好-工科信息制造),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,80,left,G-878c4f8ce339e4d2,personal-fit-v1+round2-updated-preferences
34,保底,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,H1 保底线索，计算机、物联网、数据科学等方向存在。,地理距离远，组内材料、测绘、新能源、资源勘查等需接受。,K784,新疆工业学院,K78401,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H1-历史最高线低于等位分20分以上,-27,-27,3,0,3,0,8,05 物联网工程,06 数据科学与大数据技术,04 计算机科学与技术,01 材料科学与工程02（电子信息工程,03 测绘工程,07 新能源科学与工程,08 新能源材料与器件(字段缺口待核)；09 资源勘查工程(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,237,right,G-de5cf3dab5a124b1,personal-fit-v1+round2-updated-preferences
35,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,命中方向：计算机/AI/软件4个、电子/网络2个、机械/自动化/机器人3个、师范1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K754,伊犁师范大学,K75403,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-5,-19,5,0,4,1,11,20 网络工程（办学地点：解放路校区）,12 数据科学与大数据技术（数学单科成续≥60分；办学地点：解放路校区）,18 人工智能（办学地点：解放路校区）,19 计算机科学与技术（办学地点：解放路校区）,14 地理空间信息工程（办学地点：解放路校区）,15 机械设计制造及其自动化（办学地点：解放路校区）,10 数学与应用数学（师范类：数学单科成绩≥65分：办学地点：解放路校区）(可了解-师范)；11 应用统计学（数学单科成绩≥60分；办学地点：解放路校区）(字段缺口待核)；13 测绘工程（办学地点：解放路校区）(字段缺口待核)；16 机械电子工程（办学地点：解放路校(主线偏好-工科信息制造)；17 机器人工程（办学地点：解放路校区）(主线偏好-工科信息制造),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,235,right,G-d7999ebd3ca3839c,round2-updated-preferences
36,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,命中数字媒体技术，同时有计算机与师范线索，H2。,城市和学校层级一般，需确认数字媒体专业确在该组且计划数无误。,F305,忻州师范学院,F30508,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-7,-10,3,1,2,1,4,18 计算机科学与技术（师范类）,16 数字媒体技术,17 数据科学与大数据技术,15 应用化学,,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,109,left,G-3ed22abc87c8dac2,personal-fit-v1+round2-updated-preferences
37,稳妥,B3-稳妥和保底批,V0-先核结构边界和历史映射,true,false,计算机、数据科学、物联网、智能科学、自动化、机器人方向密集，H2。,结构边界异常，必须先重读原页。,F313,山西工程技术学院,F31303,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-4,-11,4,0,4,0,15,11 物联网工程,10 数据科学与大数据技术,12 智能科学与技术,09 计算机科学与技术,14 电气工程及其自动化,15 自动化,06 材料成型及控制工程(字段缺口待核)；07 材料科学与工程(字段缺口待核)；08 无机非金属材料工程(字段缺口待核)；13 逼感科学与技术(字段缺口待核)；16 机械设计制造及其自动化(主线偏好-工科信息制造)；17 智能制造工程(主线偏好-工科信息制造)；18 机器人工程(主线偏好-工科信息制造)；19 应急装备技术与工程(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,110,left,G-f00ad59bf89d790b,personal-fit-v1+round2-updated-preferences
38,保底,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,H2 且最高等位分差较低，人工智能/计算机/软件与师范方向同组。,需核 OCR 是否把专业名连读，食品等非偏好专业也要接受。,F308,吕梁学院,F30805,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-15,-17,4,0,2,2,5,10 人工智能卫计算机科学与技术,12 软件工程,08 物理学（师范类）,09 化学（师范类）,15 食品科学与工程,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,109,right,G-be57aa62705d47eb,personal-fit-v1+round2-updated-preferences
39,保底,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,H2，通信、物联网方向，组小。,需核产教融合或合作班性质、费用和培养模式。,K757,新疆工程学院,K75703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-10,-10,1,0,1,0,2,19 物联网工程（信息技术产教融合合作,18 通信工程（信息技术产教融合合作班）,,,,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,236,left,G-ea5ee122c9d296aa,personal-fit-v1+round2-updated-preferences
40,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,H2，数学/生物师范与物联网方向可作保底讨论。,城市远，冶金等非偏好专业需接受。,K272,六盘水师范学院,K27203,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-6,-15,3,0,1,2,4,06 物联网工程,03 生物科学（师范类）,04 数学与应用数学（师范类）,05 治金工程,,,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,216,left,G-677684376bb18056,personal-fit-v1+round2-updated-preferences
41,稳妥,B3-稳妥和保底批,V0-先核结构边界和历史映射,true,false,网络、数据科学、物联网、集成电路方向可讨论，H2。,OCR 串页或组边界风险，先核第 19 期原页。,K585,兰州工业学院,K58501,01,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,0,-14,3,0,3,0,10,03 网络工程,06 物联网工程,04 数据科学与大数据技术,07 集成电路设计与集成系统,01 测控技术与仪器,02 轨道交通信号与控制,05 土木工程(字段缺口待核)；08 汽车服务工程(字段缺口待核)；09 新能源汽车工程(字段缺口待核)；10 复合材料与工程K586 兰州资源环境职业技术大学（公办）（甘(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,230,right,G-fc1a400fe1a672b8,personal-fit-v1+round2-updated-preferences
42,保底,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,湖北省内公办师范线，H2，若愿意了解教师路线可讨论。,组内有特殊限制待核，且师范意愿尚未完全明确。,C151,汉江师范学院,C15108,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-12,-12,7,0,0,7,7,24 科学教育（师范类：办学地点：校本部）,25 艺术教育（师范类：办学地点：校本部）,26 学前教育（师范类：办学地点：校本部不招色盲、色弱考生，详见院校章程）,27 小学教育（师范类；办学地点：校本部）,28 汉语言文学（师范类；办学地点：校本,29 葵语（师范类：办学地点：校本部：外语,30 心理学（师范类：办学地点：校本部；不招色盲、色弱考生，详见院校章程）(可了解-师范),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,81,left,G-5522fc6f61f2fa08,personal-fit-v1+round2-updated-preferences
43,保底,B3-稳妥和保底批,V0-先核结构边界和历史映射,true,false,命中方向：计算机/AI/软件4个、电子/网络1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K783,新疆政法学院,K78304,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-11,-18,3,0,3,0,6,15 网络工程,16 智能科学与技术,18 网络空间安全,14 计算机科学与技术,17 统计学,19 数学与应用数学G◎KZAA院校专业组及专业代号K784新疆工业学院（公办）（新疆）,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,237,left,G-d6fbe6fc85f12021,round2-updated-preferences
44,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,命中方向：计算机/AI/软件3个、电子/网络1个、师范1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K005,琼台师范学院,K00505,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,0,-2,4,0,3,1,8,06 软件工程（办学地点：桂林洋校区）,05 软件工程（单色识别不清者不予录取英语教学为主，非英语语种考生慎重报名）K00603海南比勒费尔德应用科学大学第03化学,03 计算机科学与技术（单色识别不清者不予录取：英语教学为主，非英语语种考生慎重报名）,04 电子信息科学与技术（单色识别不清煮不予录取：英语教学为主，非英语语种考生慎重报名）,07 数学与应用数学（师范类；办学地点：桂林洋校区）识别红、紫各种颜色中任何一种颜色者；办学地点：桂林洋校K006 海南比勒贵尔德应用科学大学（中外）（海南）K00601海南比勒费尔德应用科学大学第01不限,01 经济工程（英语教学为主，非英语语种考生慎重报考）,02 物流工程（英语教学为主，非英语语种考生慎重报考）K00602 海南比勒费尔德应用科学大学第 02化学(字段缺口待核)；06 电气工程与智能控制（英语教学为主，非英语语种考生慎重报名）K035 海口经济学院（民办）（海南）(字段缺口待核),待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,202,left,G-d2c32a2887ae3b29,round2-updated-preferences
45,稳妥,B3-稳妥和保底批,V2-核保底安全和完整调剂,true,false,命中方向：计算机/AI/软件2个、电子/网络1个、师范1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验；主线未纳入临床/口腔/中医、护理、医技、动物医学/兽医等方向；护理和动物医学/兽医暂不进入候选池,,K354,曲靖师范学院,K35405,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,H2-历史最高线不高于等位分,-6,-16,2,0,2,1,6,17 计算机科学与技术（师范类）,18 智能科学与技术,16 电子信息工程,14 应用化学,15 新能源材料与器件,19 食品科学与工程,,待定-完整专业组核验且家庭确认组内专业可接受后，原则上选择服从以降低退档风险。,核第19期原页、湖北官方系统或省招办计划、高校章程、完整专业组、6个专业顺序、学费、计划数、选科、校区和限制条件。,220,left,G-b8b6bec2998fd549,round2-updated-preferences
