招生明细主表行ID,主表粒度,是否真实招生明细,是否0明细占位,来源页码,复核批次,入口类型,院校代码,院校名称OCR,2026院校专业组代码,专业组内专业序号,专业代号OCR,专业名称及备注OCR,再选科目OCR候选,专业计划数OCR候选,学费OCR候选,专业偏好方向,专业风险类型,机器专业接受度初判,调剂影响初判,官网来源状态,官网证据匹配状态,官网证据覆盖结论,最佳官网来源文件,最佳官网专业名称,最佳官网计划数,最佳官网专业组,最佳官网专业代号,最佳官网学费,最佳官网选科,专业名称匹配方式,专业名称匹配分,计划数核验状态,保真处理状态,保真说明,仍需核验,可进入最终专业列表,可进入下一阶段
ADM-5cc201d7cee7b9e9,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15003,17,36,会计学（大一在马影河校区就读，大二起在后官湖校区就读）,,24,5200,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-797c7a1a53180b3b,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15003,18,37,物流管理（大一在马影河校区就读，大二起在后官湖校区就读）,,18,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-bae4d1c22a937e22,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15003,19,38,日语（商务方向：大一在马影河校区就读，大二起在后官湖校区就读）,,7,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-40613133465fa3a0,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15003,20,39,人力资源管理（大一在马影河校区就读，大二起在后官湖校区就读）,,18,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-95d47caac8904730,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15003,21,40,电子商务（大一在马影河校区就读，大三起在后官湖校区就读）,,9,5200,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-45c2fa881610d9fa,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15003,22,41,供应链管理（大一在马影河校区就读，大二起在后官湖校区就读）,,17,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-bc581cf45c656fcf,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15004,1,42,软件工程（大一在马影河校区就读，大起在后官湖校区就读）,化学,58,5200,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-abc7d74182630617,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15004,2,13,物联网工程（智能系统方向：大一在三影河校区就读，大二起在后官湖校区,,60,5200,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-cb4a47ecdc563706,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15004,3,44,数据科学与大数据技术（大一在马影河校区就读，大二起在后官湖校区就,,67,5200,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-678a43fe17bf6c76,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15004,4,45,人工智能（大一在马影河校区就读，大二起在后官湖校区就读）,,57,4000,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-b3c2ce40cc9b8174,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15005,1,46,机器人工程（大一在马影河校区就读，大二起在后官湖校区就读）,化学257,98,5200,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-5a9652ef227cf61a,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15005,2,47,建筑环境与能源应用工程（大一在马影河校区就读，大二起在后官湖校区就读）,,45,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-5888f0c43b87de5d,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15005,3,48,车辆工程（大一在马影河校区就读，大二起在后官湖校区就读）,,36,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-97ca5cd3c4c7bbb5,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15005,4,49,新能源汽车工程（大一在马影河校区就读，大二起在后官湖校区就读）,,78,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-5d2eef97073c4241,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15006,1,50,烹饪与营养教育（大一在马影河校区就读，大二起在后官湖校区就读）,化学,70,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-bbe8b7c121c232d5,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15006,2,51,食品质量与安全（大一在马影河校区就读，大二起在后官湖校区就读）,,77,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-d80b43746d504b06,逐专业招生明细,true,false,80,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15006,3,52,食品科学与工程（大一在马影河校区就读，大二起在后官湖校区就读）院校专业组及专业代号,,73,4000,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-6cbc18188efc3ec9,逐专业招生明细,true,false,81,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15007,1,53,经济与金融（中外合作办学）（“3+“双证培养模式；大一在马影河校区就读，大二起在后官湖校区就读）,不限,35,35000,,中外合作或高收费,默认不能接受-高收费或超预算,若服从调剂可能形成不能接受风险,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-89093ef60c7c19a2,逐专业招生明细,true,false,81,B0-历史候选和组号问题优先核页,历史候选,C150,武汉商学院,C15007,2,54,"物流管理（中外合作办学〉（“4+0""双证培养模式；大一在马影河校区就读，大起在后官湖校区就读）C151汉江师范学院（公办）（湖北）",,35,40000,师范类相关,中外合作或高收费,默认不能接受-高收费或超预算,若服从调剂可能形成不能接受风险,has_reusable_2026_hubei_plan_source,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,有官网线索但未结构化匹配,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-208ac6bb95d97ef4,逐专业招生明细,true,false,109,B1-数字媒体技术优先核页,家庭筛选扩展,F305,忻州师范学院,F30508,1,15,应用化学,化学,,4950,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,应用化学,1,,,4950,,exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-8dace26946595f1e,逐专业招生明细,true,false,109,B1-数字媒体技术优先核页,家庭筛选扩展,F305,忻州师范学院,F30508,2,16,数字媒体技术,,,4800,数字媒体技术,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,数字媒体技术,1,,,4800,,exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-7eb17efda1ec08b9,逐专业招生明细,true,false,109,B1-数字媒体技术优先核页,家庭筛选扩展,F305,忻州师范学院,F30508,3,17,数据科学与大数据技术,,,4800,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,数据科学与大数据技术,1,,,4800,,exact_after_normalization,100,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-b90c1647cf0911a4,逐专业招生明细,true,false,109,B1-数字媒体技术优先核页,家庭筛选扩展,F305,忻州师范学院,F30508,4,18,计算机科学与技术（师范类）,【化学,,5280,计算机类相关；师范类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,has_partial_source_needs_followup,matched,官网可补计划数OCR缺口，需回看PDF原页确认OCR漏识,data/external/issue19-b0-b1-official-sources/xztu-2026-hubei-physics-plan-extracted.csv,计算机科学与技术(师范),2,,,5280,,contains_after_normalization,85,ocr_plan_missing_official_available,官网可补OCR计划数-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-ce981eeb3b705bd0,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,1,17,电气工程及其自动化（不招色盲色弱不招单色识别不全者：办学地点：南湖校区）,,,5940,,体检或色觉限制,暂缓判断-特殊限制待核,调剂影响待核,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-49935594f5e8b4a8,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,2,18,自动化（办学地点：南湖校区）,,2,5940,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-4c98f1ca1070a015,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,3,19,测控技术与仪器（办学地点：南湖校,,2,5940,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-afe4da015ec87963,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,4,20,机器人工程（办学地点：南湖校区）,,2,5400,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-293d0737f9ebd711,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,5,21,算机科学与技术（办学地点：北湖校,,2,5940,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-43f91e4b7292e757,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,6,22,软件工程（办学地点：北湖校区）,,,5940,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-cde3f50bd666d6bc,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,7,23,人工智能（办学地点：北湖校区）,,,5400,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-33b65d8371afd78e,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,8,24,电子信息工程（办学地点：北湖校区）,,,5940,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-20fd3b182eb4ed87,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,9,25,信息安全（办学地点：北湖校区）,,2,5400,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-f23a49818ee7f3eb,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,10,26,数字媒体技术（办学地点：北湖校区）,,2,5400,数字媒体技术,,优先了解-命中当前偏好方向,主动填报优先专业候选,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-b6e367bb1561f639,逐专业招生明细,true,false,119,B1-数字媒体技术优先核页,家庭筛选扩展,F582,长春工业大学,F58204,11,27,数据科学与大数据技术（办学地点：北湖校区）,,2,5400,计算机类相关,,优先了解-命中当前偏好方向,主动填报优先专业候选,needs_official_plan_source_search,no_school_source,该校尚无可匹配的结构化官网计划证据,,,,,,,,no_retained_official_plan_for_school,0,not_covered,待补高校官网计划源,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；专业名人工复核；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-565cbf81e9dd38ab,逐专业招生明细,true,false,135,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,1,03,机械电子工程,「化学,5800,,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称，计划数字段仍需人工复核,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,机械电子工程,1,,,5800,,exact_after_normalization,100,mismatch,官网专业名匹配但计划数冲突-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
ADM-badbdb7ca0061f37,逐专业招生明细,true,false,135,B1-数字媒体技术优先核页,家庭筛选扩展,F902,江苏理工学院,F90202,2,04,过程装备与控制工程,,5800,5800,,,待了解-未命中当前偏好方向,可作为调剂接受度待家庭判断专业,has_partial_source_needs_followup,matched,官网已覆盖专业名称，计划数字段仍需人工复核,data/external/issue19-b0-b1-official-sources/jsut-2026-hubei-physics-plan-extracted.csv,过程装备与控制工程,1,,,5800,,exact_after_normalization,100,mismatch,官网专业名匹配但计划数冲突-优先核页,本表一行对应一个招生专业或0明细占位；学校和专业组只作索引。全部行仍保持不可进入最终表，必须继续核PDF原页、湖北官方系统、高校官网/章程、调剂范围和家庭接受度。,PDF原页；湖北官方系统；高校官网/章程补强；计划数人工复核；专业组边界；调剂范围；家庭接受度,false,false
